Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Human health : vector-borne diseases,HV,FUND v.3.8,"Climate-change-induced mortality due to disease c in region r at time t ,Mortality from vector-borne diseases in 1990 in region r ,Time,Region,Vector borne disease,Parameter indicating benchmark impact of climate change on vector-borne diseases ,Regional mean temperature in degrees Celsius ,Gross domestic product per capita,Change in regional mean temperature,Parameter for degree of non-linearity of mortality in warming ,Income elasticity of vector-borne mortality ",Number of additional deaths from vector-borne diseases ,,hv.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/YLmwopLL20H7jweuZh3shA/BkVMdMFqKVY_tGVAg3Tovk5vCsRKv4QaiGL51TFEfXwWHtDT-UyIkwDxDQMA_rMZ_9qe0IK6C9oYcjv_zZ9DH1xVneTSl9nasqBrK3jVOdDmzYNk1FqhG_E1j9aFIZLe2ufhR8vpHxIGNfa7K7KRnA/slwKcEujTNVP3EcTKrRk1LWVKQMXAiD9aMfSEU_QeRU),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=17&annotation=XNSE353L))  ,Infectious diseases,", Temperature, GDP",,"D_{t,r}^{\nu}=D_{1990,r}^{\nu}Q_{r}^{\nu}\left(T_{t}-T_{1990}\right)^{\beta}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\gamma}",Oui,
Human health : cardiovascular and respiratory mortality,HC.1,FUND v.3.8,"Index for the disease ,Current temperature of the hottest or coldest month in the country ",Change in mortality due to one degree global warming ,,hc1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/sYxd16uFbqZ4MCx6usJfTQ/4cYuF3mXJRgkcIfmBD1H3ZyhP8u_kMcBX_CGU-b7bao-IjgsswwNjMgmY7Xt2PyvaVhRtGG3_U9IvjqCFfOJXG0ObqO0qApc8lu28blTdwOsOUoo-Yf3z5D5fG4AxIvbRT7bC1kVCNNv-kVewZJDmg/4Z2aKXBPX9A6bTlaNdrbTyn1G-d4fE0Bdu63e_Xh4Ag),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=18&annotation=CL2YMIC5))  ,Extreme heat,,Mortality,{\cal D}^{c}=\varrho^{c}+\beta^{c}{\cal I}_{\cal B},Oui,
Human health : regional cardiovascular mortality,HC.2,FUND v.3.8,"Region,Time,Change in regional mean temperature",Climate-change-induced mortality due to disease c in region r at time t ,,hc2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/o3wpIgp-8Uc_BhVpomH3nA/ZDC9K11C3l-FZdwYBAFMYQLx6GHD5ffU0Aijbw92UI8Z6pjNwD5P-qiasjgxyR8BKmCyYBTDsMH1z4vN5kHtrgkGd_qVOlAkMhDSL7ZPf1U4ZSIF4C6LHhCAzO297Eelv0hzeUJl4qFOI1vO2ZS6_Q/Vl2Hhqh0vGz4OQwXwRz1h-vkeyBUlnJErS_J8qqqEOU),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=18&annotation=AWVUZ27W))  ,Extreme heat,", Temperature",,"D_{t,r}^{c}=\alpha_{r}^{c}T_{t}^{2}+\beta_{r}^{c}T_{t}^{2}",Oui,
Human health : heat-related mortality,HC.3,FUND v.3.8,"Gross domestic product per capita,Population density ,Time,Region",Fraction of people living in cities ,,hc3.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/EopO0CBEcST-VMR3I2v85w/4LvR6MDFvKaazrNZTDNu_yUIwaL3D5qhuTd2CqEY5ne28-yfqkZunXoISH3keHUOn5wnATJNrz8sD3b-WCGuvuTLnmDtN_dtC1JKEvNqqDXw741aGVNz2tdBOccqImVlNAKc8S1ChpwQDAt9-8T_CA/B3Yl2cp59P1H9JYprThdW1o_Ry7Pnn5A7Lx4Wsd9gr8),,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=19&annotation=BCCGDXPN))  ,Extreme heat,"GDP, Population, ",Population,"U_{t,r}=\frac{\alpha\sqrt{y_{t,r}}+\beta\sqrt{P D_{t,r}}}{1+\alpha\sqrt{y_{t,r}}+\beta\sqrt{P D_{t,r}}}",Oui,
Extreme weather : tropical storms damage,TS.1,FUND v.3.8,"Time,Region,GDP in region r at time t ,Current damage as a fraction of GDP ,Gross domestic product per capita,Income elasticity of storm damage ,Parameter indicating how much wind speed increases per degree warming ,Change in regional mean temperature,Parameter for the power of the wind in the cube of its speed ",Damage due to tropical storms in region r at time t ,,ts1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/D8FGL2aDJqmTlvhmLWbZdQ/eeBlYPBIv7ns7n_Zdlbb7SP7pL5nrWsyWDGz2PXITcOMyafQJL_k82bAOZOoyDp37svTcLdNttNMHcgCfbc0ijrYCec5GkHXE91Qenwt8Ldu9mX7voHmhWodKH945pWuxAZrswg-tcZnqMv0z8SPWg/iSEpd7kEEtQOALyqe_Q0MEbq1_s9qZ2s04WRlHr6xdk),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=19&annotation=TNF9KWNC))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors",", GDP, Wind, Temperature",GDP,"T D_{t,r}=\sigma_{r}Y_{t,r}\left(\frac{\vartheta_{t,r}}{\vartheta_{1990,r}}\right)\left[\left(1+\rlap{\textstyle{\mathcal{D}}}{\mathcal{D}}_{t,r}\right)^{\gamma}-1\right]",Oui,
Extreme weather : tropical storm mortality,TS.2,FUND v.3.8,"Time,Region,Population in region r at time t ,Current mortality as a fraction of population ,Gross domestic product per capita,Parameter indicating how much wind speed increases per degree warming ,Change in regional mean temperature,Parameter for the power of the wind in the cube of its speed ,Income elasticity of storm damage ",Mortality due to tropical storms in region r at time t ,,ts2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/VM8-7hFosMQq7WvTuueGLA/k9np1nkuSHps_UUZENrmms1uWVeIpgP8iXEQ_iqBkPxuTnUDMc8jMBHAcJ_ZgvHLqaHE1a27LFBYTn5vAwVWF31hxEJOKaRUovcTqpcDwXUFPG71UqLWOV17OhU5qWP6LynIjpTaKnvdnNQGWjDBpQ/qvuFssmibs-sadPX1rAzaJS6lpY5XLyPxwfDoFTeiZg),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=20&annotation=27WRANPN))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors",", Population, GDP, Wind, Temperature",Mortality,"T M_{t,r}=\beta_{r}P_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\eta}\left[\left(1+\rlap/\partial T_{t,r}\right)^{\gamma}-1\right]",Oui,
Extratropical storms damage,ETS.1,FUND v.3.8,"GDP in region r at time t ,Benchmark damage from extratropical cyclones for region r ,Gross domestic product per capita,Income elasticity of extratropical storm damages ,Storm sensitivity to atmospheric CO2 concentrations for region r ,Atmospheric CO2 concentrations ,Pre-industrial concentration of CO2",Damage from extratropical cyclones at time t in region r ,,etd.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/zM5lKSvr5Qxn-dFN7Yb6ng/EcZZ2ZJV5ivXZiqpWX2pAxVvjX-wshOVnOaSCKJ6VrMwofVJYIVNC-UnwNwz54IYDrSCnoQQ33kl9DVb6RYI7MZKKp6KEqd6UDgFfGxQk2HQ4UyLg8GdGO9VFNtKy8K8-MQKl4tVugx-sMLOOIClpQ/zS4L6da6q2vkNR92J4aa3dPLAyFiE_GVWckka0Ywiu4),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=21&annotation=UL22ZER4))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors","GDP, , Wind, CO2 concentration",GDP,"{\cal E}T\!D_{t,r}={\cal Q}_{r}Y_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\varepsilon}\left[\left(\frac{C_{C O2,t}}{C_{C O2,p r e}}\right)^{\gamma}-1\right]",Oui,
Extratropical storms mortality,ETS.2,FUND v.3.8,"Population in region r at time t ,Benchmark mortality from extratropical cyclones for region r ,Gross domestic product per capita,Income elasticity of extratropical storm mortality ,Storm sensitivity to atmospheric CO2 concentrations for region r ,Atmospheric CO2 concentrations ,Pre-industrial concentration of CO2",Mortality from extratropical cyclones at time t in region r ,,etm.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/eXl5PDtvFvVJ3ZEPPIG_Vg/0PDR_ERen2d2lIJI7jf5XQPfJ_PxpnBn6UtCiSORxFYksHvxbnU6gjOyue2KanFZ5zUAvPpNjeKWC_z3TgHCDXMaqpJeltW12nA6Pbej6hCkS-WG3Q5DVbl17loz4XJVrDWXHVdZuzx40uP0uKjAzA/WUayrAAp7tZkypWImLdv4ySb4Slj0j0hMku6SXsYpWE),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=21&annotation=ERSA7FLF))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors","Population, , GDP, Wind, CO2 concentration",Mortality,"E T M_{t,r}=\beta_{r}{\cal P}_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\varphi}\widehat{\cal O}_{r}\left[\left(\frac{C_{C O2,t}}{C_{C O2,p r e}}\right)^{\gamma}-1\right]",Oui,
Value of a statistical life,MM.1,FUND v.3.8,"Income elasticity of the value of a statistical life ,Gross domestic product per capita,Normalisation constant ",Value of a statistical life at time t in region r ,,vsl.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/HixRcWvMikC3qSqe_zrqtA/pWzMYgR7XM7_BkEmDZBd0UVRUsSDF9ejdK3UrWf0SNxtBR31x1jjO5zXiaU3zPQVo2r74-NwwHeGpLRzhdBo1VeitP0h__mKv3KDfinpURE90bkUwCVE-Q_kCe6QQFzv3C24_h_8Qvm0DCc326os6A/Zjf12TtGRBTmf-ONGqz9dQRva4bla9mnXlqKD-I-4KI),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=22&annotation=5IJPHFP2))  ,,", GDP",GDP,"V S L_{t,r}=\alpha\left(\frac{y_{t,r}}{y_{0}}\right)^{6}",Oui,
Value of a year of morbidity,MM.2,FUND v.3.8,"Gross domestic product per capita,Income elasticity of the value of a year of morbidity ",Value of a year of morbidity at time t in region r ,,vm.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/20HqEhUv_sk8TP6uk5RDzA/fz5CU3kjLQWSaTpJIgDBuy7krLq3RN72s6V98C02Vfo2l0scFMmF_h-WnlYIPinIC2P6Ysi2s-EIYRhpX6lEDvNTaoHbyzo6Bhrwfo7bRgW75fsVPzkCocsasdzlI9blzpv4WDo_UaBJS98qBUryaA/1rXFm-DPDPpGfF0IAtSeUc_faEzqWVz041nkdxIkw4c),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=22&annotation=4M7ZJN2E))  ,,"GDP, ",GDP,"V M_{t,r}=\beta\left(\frac{y_{t,r}}{y_{0}}\right)",Oui,
Damage function,5,DICE 2023,"??1 (psi 1) ,??2 (psi 2) ,?? (T) ",?? (omega) ,,5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/6K9m9lOnOuzoq3wzvcB5-Q/fDLwffP6v3D3r-N0Evj0kT-ANG1i4Q5pwo0Sijwg7TtH1D-_OWTaSr4i6gb_5TL12RigVU4iBWOnZumc_Cj-3xmn33o-EUzIeAic1_cPlTNRkPPgoCe7LFTPl15DRPO-m_RWUqN6wb9Py4t6aVNFLw/znyvuEYCIda3uao2lzLHiRjiGzp_MtROcc7n1KbOFIA),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/B3AXV6A8?page=9&annotation=3WLNKML7))  ,,,,\begin{array}{l l}{{\ }}&{{\displaystyle=\psi_{1}T_{A T}(t)+\psi_{2}[T_{A T}(t)]^{2}}}\\ {{}}&{{=[0.0]T_{A T}(t)+[0.003467][T_{A T}(t)]^{2}}}\end{array},Oui,
Abatement costs,6,DICE 2023,"?? (mu) ,??1 (theta 1) ,??2 (theta 2) ",? (lambda) ,,6.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/P9e4GCnlVWxEJrQVQ0v-AA/24MrWUkr5dtqdblyrwOmLHUXvmvIHiRwaMAWOwG5paGy-6PQI1yKrIVKeZjM4ZfNZtn6aSchgbeQAgAXB27wtzHyNt8ZWrIMYw-DnNlCe8nZY8cLjMgTPqFf5xxisRwaMlyBaO5hPKgM_wW3-Dw6MQ/PYDO1GJo-vhil8BYogg_Qp7wOmUt9ytmginrpmmRzRo),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/B3AXV6A8?page=9&annotation=3WLNKML7))  ,,,,\begin{array}{l}{{\Lambda({\bf t})\;=\;\theta_{1}(t)\mu(t)^{\theta_{2}}}}\\ {{\theta_{1}(0)\;=\;0.109062}}\\ {{\theta_{2}=\;2.6}}\end{array},Oui,
Tolerable rate of change,22,PAGE02," Tolerable rate of change , Tolerable regional multiplier ", Tolerable rate of change ,,22.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/ubY7uyDyzKwonS0GpqGdeA/K1U0wBZSJ3_c1M3QJrQDxxTwGz1SlwY1XpOUk8y4Po2Sa5W9CbcXoCXOnYowjTaBfRscdBvpNJ3yrehObvR7pMGwGUc6kdGHXZ-Yn9IB49_wmGK42XkuNo8kAFj_-1T-9C3ECOrsIeF7tbXUira4Ew/3tKc22XBZu62-F3ek9AQJLpEW89iEaENF_X6H-Ib51U),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=Z6U9GKJM))  ,,"Temperature, Parameter",Temperature,"T R_{d,r}=\ T R_{d,0}\cdot\ T M_{r}",En cours,
Tolerable plateau,23,PAGE02," Tolerable plateau , Tolerable regional multiplier ", Tolerable plateau ,,23.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/iCwdUYSu24CSXbVC7FJufA/VvVNfNDSLBYfsJqt_LOBjsKY8Dni-e4R47tOIIXv0n79qlO9qKO1gRVRVo5dK9VLDOdvcSSH9I86yB_lr1qvtw9YSiMMHy5nKltlBZgr4-JWSyH6qsR4_hfbR9VwR2uEpyUyh7r0MQDVKXinQGke0w/EZl6lwk0aimsS2wVvQbDVKDqHxL_SD4_vh5KVZCtJzg),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=5ZD6GLBF))  ,,"Temperature, Parameter",Temperature,"T P_{d,r}\underline{{{\Sigma}}}\underline{{{\Sigma}}}\underline{{{P}}}_{d,0}\cdot\ I=0\L_{r}",En cours,
Adjusted tolerable plateau,24,PAGE02,"Plateau nonegative factors characteristic to an adaptive policy, Tolerable plateau ", Adjusted tolerable plateau ,,24.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/ghjGDhcgk-8D3egihUrF2g/cdyE5ttKODWoibFP1tAmaU9OK6NQAfkK3clsXWQA7CyVAiSX8pPCGrH8kAqjyHdTcIo6c8Mlr9lHIeV414061uqx8SfJwmlUwQHwSy1vOHPXvbUOS8FW3VX23xqGztxJU1yd2f77V5d41ueciiEK4Q/v2YHGUor5hjlrrOsp0VYVoCSd6pVrV1bBx5cJ3TlFx4),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=NE44W4FS))  ,,", Temperature",,"A^{\prime}T P_{i,d,r}\underline{{{\bf\Lambda}}}\underline{{{\bf\Lambda}}}\underline{{{\bf\Lambda}}}\underline{{{\Lambda}}}\underline{{{\Lambda}}}\lambda\alpha^{\prime}\underline{{{\cal\Psi}}}_{i,d,r}",En cours,
Adjusted tolerable rate,25,PAGE02," Tolerable rate of change ,Slope nonegative factors characteristic to an adaptive policy", Adjusted tolerable rate ,,25.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/UeilsO2lCeC_dkv053njmg/xmsWwHwR3CRJ-YCMs9HzE23amJ6I3TkX1Cj-txSR6ldhdfDvclwkB1LqXGqV5DQj-EqNeQg1H47X5OYwD4SWMDUoe8YMFtNKQAynslxkCPvrVVooMLvCc_WoeLPbL4pypuh1m-v4UE_W5PoSNXEVug/BFX9SLY_DOZxI56Iw__7zVOwgPS3kOvAozFEt1TtDQ4),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=KKNXVJBW))  ,,"Temperature, ",,"A I I\!R_{i,d,r}\underline{{{\longrightarrow}}}\ D\mathsf{)}_{d,r}\i\!\!\slash\k\mathsf{P}_{1,d,r}",En cours,
Adjusted tolerable level,26,PAGE02," Adjusted tolerable plateau , Adjusted tolerable rate , Adjusted tolerable level ,GDP in region r at time t ", Adjusted tolerable level ,,26a.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/I3BGmJOY5kVQKUfbSvWoTQ/6_KWYtgtH7gz3trF55YX0jsxhfKx_zkwzFObf3s3oiCzXc3axUJdhBuCq40d-A5XZL7b0_AmIRVGZmMMoCfnfQebSgwhFj6scdOAHXdmzemMK8tTSZdkmWTiy4X35JUCFiGSoHzOUR1N0A8h6avj5Q/ADNHaHRYA-WzdokCacYtTAez7Ff199vUfeyPa5mu0B0),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=SCSZD24F))  ,,", GDP",,"{\cal L}_{i,d,r}\,=\,\mathrm{In}\mathrm{ax}\left[0,R T_{i,r}\,-\,A\,T L_{i,d,r}\right]",En cours,
Impact,26,PAGE02,"Regional mean temperature in degrees Celsius , Adjusted tolerable level ", Regional impact of global warming ,,26b.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/Vqsn77ZI2hNplLlepdA_bQ/IA9DCyUWMK0xbATYhoC0e6-Wp7hlnREyZwjk6PAEmTwnqB715yunqWh7DxnbEwFBW08IfbfPT2GFge6ezzCqO5wiajUC8PmHM-RH_bdA3r3unpqfTs2UACi534AEHwrMTtVdJ2SSm7loYQ6sW6RxYQ/-Pgbyss9YGGdpCsZkaZh6MZ6YXHACVNKDl_f3pf0wss),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=TK54GLDT))  ,,"Temperature, ",,"A T L_{i,d,r}=\operatorname*{min}\left[A T P_{i,d,t},A T L_{i-1,d,r}+A T R_{d,r}\cdot(Y_{i}-Y_{i-1})\right]\frac{array}{a,d,r}{a,r}=\sum_{i=1}^{M}\frac{a}{a,r}>0^{2}.",En cours,
Impact of a discontinuity,27,PAGE02,"Global mean temperature ,Temperature discontinuity", Discontinuity impact ,,27.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/6HZ8IJSvJF5pUMf2mwKWBA/NugNv4VsfBQPeaM2O5kfIrykJS6GhDQ832y2wmiVAKl19YYJms8Us8WYKmvm-_ea_fqnIXDKkrrovBpCGXay_i_rbcOKXvD_ERBzPdog22v-t5zxpgkNdfdSiiIn4byGcJlhf05dyPd2SGEIYoHnwg/OfTEsSdP-2P3CGw92h6QtJlYpUazUmubIF8ZK0AKCvY),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=3YRX8W5N))  ,,Temperature,,"I D I S_{i}=\operatorname*{max}[0,\,G R T_{i}-\,T D I S]",Non,
Weighting of the impacts,29,PAGE02," Weights for monetizing impacts , Regional multiplier weights", Weights for monetizing impacts ,,29.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/LaHuc9aQlajjYOjUw1SVHw/m7rGnP7ivZtWgv3dXQH2V16M1JYnOyzb81g0kCm-oFtMQUstJDYj14fn8dSgygD5UyHgOuntjgE1eYpEBWhcLfGZfTYMwWwUycWXZMz2xt_IqeaYm-9uHzS5ycML0Sp5JDgx1AJedF2d7T-RWIbwRQ/seW6S_RFWzK5NtJQ4LYJih0rfdkkL2blxWjEuR7j-0E),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=KU4ZPJ2X))  ,,"GDP, ",GDP,"\bar{W}_{d,r}\implies\bar{W}_{d,0}\cdot\frac{W F_{r}}{100}",Non,
Weigthed impacts,31,PAGE02," Power function exponent , Weights for monetizing impacts , Regional impact of global warming ,GDP in region r at time t ,Adaptative policy", Weighted impact ,,31.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/HYUw4m-OR26Vx672XSW7xg/Dd3ZrG-FljF2mH4o8mpysoW8BXQOUT0PPJvQ1NJgVYFvxMqB8Y4R8xzDnPVBqDYeHIq2pVr0AWVrNbSidGVZCEMoJtevNQkNnbBmPv1QwwJCo51Y0kjK9XlzeEQskX-c48PjUtMQk8f7Hee4kbf9Jg/9iD1UFNfk-a2YF-9qBOj1M98b6NxhY2SCk6nfXR-kdk),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=I9VTZGV5))  ,,", GDP",,"W I_{i,d,r}=\left(\frac{I_{i,d,r}}{2.5}\right)^{P O W}\cdot W_{d,r}\cdot\left(1-\frac{I M P_{i,d,r}}{100}\right)\cdot G D P_{i,r}",Non,
Certainty equivalent of the risk,32,PAGE02," Discontinuity weight , Discontinuity impact ,GDP in region r at time t ", Weighted impact of discontinuity ,,32.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/bz97gUpp7iCSiUNcgm-M1w/7z7fYJHJ80MIqtKoasUwIX-1StnYot4SQZDJ1F5CpEWizN5rMpy4HyOg1s2To2NQ3Tl4J9VWlnxQcg7-2FyNlJISxUgQ-8d3Ztn_8Cl0saOKj8WRECHONb0_g-1MG3hxfWiqTOon2LELatARK8mJSg/YYvzvQzG2vmEOQBXPIRqtUje8_Bo2_V-yvPttV-rLsg),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=SH86S4R5))  ,,", GDP",,"W I D I S_{i,r}=I D I S_{i}\cdot(\frac{P D I S}{100})\cdot\,W D I S_{r}\cdot G D P_{i,r}",Non,
Total weighted impact,33,PAGE02," Weighted impact , Weighted impact of discontinuity ", Total weighted impact ,,33.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/7AFqFcbfjt97tHXiFb0AEA/enEJcpUWgGSESPYUbaZ8DbcWgjDaC1n-TccIYGkIgdQFdjz5GQ-ujEd2xU87DA2lTT41PDuo2oL6vx8LvJVLB6HEeAIXVrdGiTWTS-fVfoNwiT_cOmFihucL5Bu-6ecw7FsP6dyNNmgdSot-GYzrtQ/NgDhbWD_8BwK_E-bHq9Q6_EsmvdvzgfuacQnBJnRVso),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=5TEQ7U5C))  ,,,,"W I T_{i,r}\stackrel{_{\textstyle>}}{=}\sum_{d}W I_{i,d,r}+W I D I J J_{i,r}",Non,
Adjusted damage,38,PAGE02," Total weighted impact ,GDP in region r at time t ", Adjusted damages ,,38.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/ToSBSrkuZpT7vuYI2A3GXw/9KxvfsTwWUhBB2HtG1-8JVJHxKqUTiygTCsGnc2AQqiutEjtbn0dQrwRNL0OyCVQr74THG_J4KuL7K0akQ8Tj9tcEhokaIUkLHnrc-RQjLL54lA_rMH-PDte2W2vdNpcLwXbdyR38YUFmjsx-T78fg/eaaDPAjsPbGMASfYkc5c2Kg_-y9dRK0UbyZ6-0kG4m8),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=27&annotation=A5MEPYP4))  ,,", GDP",GDP,"\ A\,L\!\!\!\!\slash\,\L_{i,r}\,\longrightarrow\,\ W\!\!\!\!\slash\,J\L^{*}\!\!\!\!\slash\,A\to\nabla\!\!\!\slash\,\L_{i}\,\longrightarrow\,\L^{*}\,\L_{}\,k\,\L_{}\,\L^{}\,\Psi=\,\L^{*}\Psi_{i}\,\L^{}\,",Non,
Discounted damages,39,PAGE02," Adjusted damages ,Discount rate for impacts", Net present value of global warming impacts ,,39.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/Cf3JqnH38GjeSvobjz52qg/qiO68x48TizMjQgMtH_R4cn6RHtduDJM3gyTGpMKZf0ztRBNoVS5fzydq8jor-34PjxU2DAS5BdM9uLqoG3Jm58VnZucaKdVGavgrZrCHBhdpDez_3An35wRN3U12gC8RUB8Ke1Ymj8W9GE-I9gE1g/IvtaxUD39ylMlSwEjJtFTM--YbnFBJCxln2LLBn793A),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=27&annotation=U3RCL4JM))  ,,"GDP, ",,"D D=\sum_{i,r}(A D_{i,r})\cdot\prod_{k=1}^{i}\left(1+d r_{k,r}\cdot\frac{r i c}{100}\right)^{-(Y_{k}-Y_{k-1})}",Non,
Damage function,12,C3IAM, Climate damage fraction of gross output ,Change in regional mean temperature ,,13.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/g1xnteZy9KCAs2GBl782nQ/7nTYEcRzRKJXUwic5_0sUoICGc9ZoErBD29yxZBYm3xTVWSZePFdBRZescbSxsi-4jNo0EbJ4v8i84ZNmt_tmnmEDehWB5N87CPqGCYdSl2ymffnBt6d3XGwlpVa5hXxL070J_OLWefBiVQEPgjBvw/ydcrndnLz_wITyjtTdeKgC9TmWLv-Yw4vWCJWOeKS0Q),Inverse quadratic,[image] ([pdf](zotero://open-pdf/library/items/SNXRQX43?page=11&annotation=8PUY3RBF))  ,,GDP,Temperature,"D_{i}(t)=1-\frac{1}{1+a_{1,i}T_{1}(t)+a_{2,i}T_{1}(t)^{2}},",Non,
Productivity of land in agriculture,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Productivity of land in agriculture,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,En cours,
Productivity of land in forestry,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Productivity of land in forestry,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
