Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Human health : vector-borne diseases,HV,FUND v.3.8,"Climate-change-induced mortality due to disease c in region r at time t ,Mortality from vector-borne diseases in 1990 in region r ,Time,Region,Vector borne disease,Parameter indicating benchmark impact of climate change on vector-borne diseases ,Regional mean temperature in degrees Celsius ,Gross domestic product per capita,Change in regional mean temperature,Parameter for degree of non-linearity of mortality in warming ,Income elasticity of vector-borne mortality ",Number of additional deaths from vector-borne diseases ,,hv.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/jMKkQ94gviCyBixbcHgx8Q/YyUUDgerawitrTcRw2hxwMrkUgmO72FgudDRNVs4ENL1_mkyUFAhAL54NNy6hTfa7S3jt1ibqts101Fqh7cJCfuk328qRazRE4timra7ZNKUF2SG9bmxs5a__g6Xmsek_MByLRDeZONoqPf9XpilNQ/fzqtynH5JDBauZkeYRTkFxUeyhSngE9zNgRwNPdqMv8),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=17&annotation=XNSE353L))  ,Infectious diseases,", Temperature, GDP",,"D_{t,r}^{\nu}=D_{1990,r}^{\nu}Q_{r}^{\nu}\left(T_{t}-T_{1990}\right)^{\beta}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\gamma}",Oui,
Human health : cardiovascular and respiratory mortality,HC.1,FUND v.3.8,"Index for the disease ,Current temperature of the hottest or coldest month in the country ",Change in mortality due to one degree global warming ,,hc1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/y_WMwtvsZZXnmG-Sp2pQ-A/fNHvV5EWe6t9Nf5Pvx_LcKo_tIz0W1n870GaaslKpOHJMtB1M-AdvxMNNfkERjG3VktVPC8G9AQDc3tNy6w9gmtmEubr3xEF0pEu18jP8RLZAEwZ1wA7eGCUAZfi8lbQksy_fA7rjrequuRnCBuuGQ/lJiknDA9EbcJaGoibcJHB8dfPDHhPv4z8T1kRRjJC94),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=18&annotation=CL2YMIC5))  ,Extreme heat,,Mortality,{\cal D}^{c}=\varrho^{c}+\beta^{c}{\cal I}_{\cal B},Oui,
Human health : regional cardiovascular mortality,HC.2,FUND v.3.8,"Region,Time,Change in regional mean temperature",Climate-change-induced mortality due to disease c in region r at time t ,,hc2.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/BH79WOA8lzJB4sqgfMlqEQ/IA_5Z3Dz7NVW36Ok6RiTLyEf6j94IKR_GNYp1-Xgrj2RLbMkzPsUCEutQCHk7138R0pUQ01Neo5NBoYR8_Lc1B24Mdm2hazkdnd0B1tB3gvzC7CCA5d-7a_oidIuUOjT1iUVOHzqx_FeQUIYheXBJQ/cS1cZizzc0HLQTRifs3ZXrva5nM-QCyOl7Zst9Za1T0),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=18&annotation=AWVUZ27W))  ,Extreme heat,", Temperature",,"D_{t,r}^{c}=\alpha_{r}^{c}T_{t}^{2}+\beta_{r}^{c}T_{t}^{2}",Oui,
Human health : heat-related mortality,HC.3,FUND v.3.8,"Gross domestic product per capita,Population density ,Time,Region",Fraction of people living in cities ,,hc3.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/Q-pxsTTRbgZaqRds-jcF6A/A574GEZFLSX2doDYR9TADRGs77kb-V8IaPCoB0xn2wnbWe4F9ppPN2g16nhJkPWxsAa2Pl5Y7AdiKEQgo3b8im0zYbmlHtKNoVt4Bve1bX7MjNCXHnYRH-Bx9U5Put5Z-JTPKJ7ZD2GPPN33Si5pJQ/It2VTNgNEHfMucaQJbiu-ZdSgs-t6henCSlgUEZRm8w),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=19&annotation=BCCGDXPN))  ,Extreme heat,"GDP, Population, ",Population,"U_{t,r}=\frac{\alpha\sqrt{y_{t,r}}+\beta\sqrt{P D_{t,r}}}{1+\alpha\sqrt{y_{t,r}}+\beta\sqrt{P D_{t,r}}}",Oui,
Extreme weather : tropical storms damage,TS.1,FUND v.3.8,"Time,Region,GDP in region r at time t ,Current damage as a fraction of GDP ,Gross domestic product per capita,Income elasticity of storm damage ,Parameter indicating how much wind speed increases per degree warming ,Change in regional mean temperature,Parameter for the power of the wind in the cube of its speed ",Damage due to tropical storms in region r at time t ,,ts1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/0GO-P6nfkTVr12SwwjfRVA/5E-7d79yY72zWkQHWigtcEmdkyNb-vwlFy-zW3lon9Yvi6sfZ2QDBmFcq8Bbvn2MV336vCN171isl4ZlU-if2h2fFC95lohc90Xl2TI7ZvmMJwkBiy8Qct2R7BhtU_y2Id5b8FVuzNE8rYcSIgKjDg/slNhIfg7GmVYRTt9C88XI8Gg8Zw8wnEPpUOhSO-BE8E),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=19&annotation=TNF9KWNC))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors",", GDP, Wind, Temperature",GDP,"T D_{t,r}=\sigma_{r}Y_{t,r}\left(\frac{\vartheta_{t,r}}{\vartheta_{1990,r}}\right)\left[\left(1+\rlap{\textstyle{\mathcal{D}}}{\mathcal{D}}_{t,r}\right)^{\gamma}-1\right]",Oui,
Extreme weather : tropical storm mortality,TS.2,FUND v.3.8,"Time,Region,Population in region r at time t ,Current mortality as a fraction of population ,Gross domestic product per capita,Parameter indicating how much wind speed increases per degree warming ,Change in regional mean temperature,Parameter for the power of the wind in the cube of its speed ,Income elasticity of storm damage ",Mortality due to tropical storms in region r at time t ,,ts2.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/6KquRPUMTFex125Tx7boPA/0OV6_9EsUlz2jk24frevOMiDDIHdSqqoa8sOntDGvR-A7yoFBAEDlDhNCHqjxwYewA0oxN9N0Lt4FjfLpmqXw7vtFzV0MEHN4HpQssOTVijOUNfCQUBerDGybTXQdYi_pp2JRPBL0zn9XWGdv2TNig/GRjukwcWzffQWSm8bhOs_mgWooXNNIVDx34apMF2jUg),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=20&annotation=27WRANPN))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors",", Population, GDP, Wind, Temperature",Mortality,"T M_{t,r}=\beta_{r}P_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\eta}\left[\left(1+\rlap/\partial T_{t,r}\right)^{\gamma}-1\right]",Oui,
Extratropical storms damage,ETS.1,FUND v.3.8,"GDP in region r at time t ,Benchmark damage from extratropical cyclones for region r ,Gross domestic product per capita,Income elasticity of extratropical storm damages ,Storm sensitivity to atmospheric CO2 concentrations for region r ,Atmospheric CO2 concentrations ,Pre-industrial concentration of CO2",Damage from extratropical cyclones at time t in region r ,,etd.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/Tzmq4IK0OCgIzGAAv-WE2Q/ITU38OD55i65IzRnQ0an4qQXFgoR6hyyhis6ENs4VcIFMzac9bQ0OlEhwH0MecmvtNETIt_Sfdr0kVIcZxMQXV5WAqJtO0ScfCuDM8aQDe2eOqz7Bt0yQ7zHfG5-qSi3iNjq0tlB-jEW-dJpm-6DDA/E-p0PagIAZ7QkxbxH2NIIutgcX-FkJTPItsCT_uPC6o),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=21&annotation=UL22ZER4))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors","GDP, , Wind, CO2 concentration",GDP,"{\cal E}T\!D_{t,r}={\cal Q}_{r}Y_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\varepsilon}\left[\left(\frac{C_{C O2,t}}{C_{C O2,p r e}}\right)^{\gamma}-1\right]",Oui,
Extratropical storms mortality,ETS.2,FUND v.3.8,"Population in region r at time t ,Benchmark mortality from extratropical cyclones for region r ,Gross domestic product per capita,Income elasticity of extratropical storm mortality ,Storm sensitivity to atmospheric CO2 concentrations for region r ,Atmospheric CO2 concentrations ,Pre-industrial concentration of CO2",Mortality from extratropical cyclones at time t in region r ,,etm.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/at-FvLrFgeiUUZV4DzRFKA/53_PhTlLxLjXLKupwKzyCFLqFuzP4iMUY6jiHYoIW27ptSI-q-GYC6MXWTnrXD0EmfGraYFasT6XNc7vgpZ_dOFmhxmAX0LDQjC3Mi-ADv8ieHYKab08qA1q9rjnJSBAy2keKCrGpsViSeZUv2DjwQ/EW3XOXXVbJ9hSTisp-KYS9EJZ-m_91gjYZGhlKhznKc),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=21&annotation=ERSA7FLF))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors","Population, , GDP, Wind, CO2 concentration",Mortality,"E T M_{t,r}=\beta_{r}{\cal P}_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\varphi}\widehat{\cal O}_{r}\left[\left(\frac{C_{C O2,t}}{C_{C O2,p r e}}\right)^{\gamma}-1\right]",Oui,
Value of a statistical life,MM.1,FUND v.3.8,"Income elasticity of the value of a statistical life ,Gross domestic product per capita,Normalisation constant ",Value of a statistical life at time t in region r ,,vsl.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/HGoe3ZtqcOgu2RTwjpW_YA/IewcOCvM5ZP1lgSso9Mzihl1htdrMTNCbjchhtlTuO8UCJzZAYgUMJYw0n_9H_Kp5SDCZQ7eRrl5Mb4fap_M3HFflL4LPYWJAQqFmq5Q3yq9-w_E23mFAKndkO1H30EDcA7Dmik0ADp7JfMXTpEgww/Rc16dcu0kYZHMr5j7VxQvK2rWZv1_5vYeJ0DFl7jjMw),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=22&annotation=5IJPHFP2))  ,,", GDP",GDP,"V S L_{t,r}=\alpha\left(\frac{y_{t,r}}{y_{0}}\right)^{6}",Oui,
Value of a year of morbidity,MM.2,FUND v.3.8,"Gross domestic product per capita,Income elasticity of the value of a year of morbidity ",Value of a year of morbidity at time t in region r ,,vm.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/zUmDNtPTo0PMbwshp0XSHA/70zUPenOU5x5ou-9Cw-PtCQTMkcX1NJXXmv7IEx7Ba7mU7-eB_VRGvPeGSu1J1CtipVOGkogsRZ7R9n4E_YLN-q9X7pRLF5AjoetfXq6nWzezXMBiuzPSF9j_8LCyN6Rxl0ifSBAQGnXrL303Lv2zQ/b2dVTRCc4C_imgrNRbrtC8be5CPiFZK4Ifl-pEILf84),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=22&annotation=4M7ZJN2E))  ,,"GDP, ",GDP,"V M_{t,r}=\beta\left(\frac{y_{t,r}}{y_{0}}\right)",Oui,
Damage function,5,DICE 2023,"??1 (psi 1) ,??2 (psi 2) ,?? (T) ",?? (omega) ,,5.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/zB9cM5el5aPM9V3CMJNbdA/9rC7gVnv9cE1H-J8lZi7rkRdQvODckVrmWVYaPE8vbXum5Rnxuy4TUvJopGDIAd31IhmVEIrsngxoaVCesLE9Ny_I8G-CfSyxRGKWSgyBnxxD7FDvxNgsC-OTEe92pOGgafQyfnP5VIabasWKi2zxQ/pHOFuS4IFNekKcnhYDRly5Mlb4PHoxXcUPN2XxHzQ10),[image] ([pdf](zotero://open-pdf/library/items/B3AXV6A8?page=9&annotation=3WLNKML7))  ,,,,\begin{array}{l l}{{\ }}&{{\displaystyle=\psi_{1}T_{A T}(t)+\psi_{2}[T_{A T}(t)]^{2}}}\\ {{}}&{{=[0.0]T_{A T}(t)+[0.003467][T_{A T}(t)]^{2}}}\end{array},Oui,
Abatement costs,6,DICE 2023,"?? (mu) ,??1 (theta 1) ,??2 (theta 2) ",? (lambda) ,,6.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/hbkqo36LOxzY5-ENYiYIMw/E8dB212yipU09M68T9dnb9EYslhio8wMneTHQOAkZcbw_52hTt3slmsSttUQJ1Fuxpgz9PEq49ZdkN1qFvfIdAN-KkCFsCYz8-qZ08g1JGjUwzNB8OPLzfK5-AYt63OJZwt3lwJBXWs3K4a7ZUIP-Q/TR_iDW1gzrU5rUyHkzYi2_ABfoaDaMXLsPn7Y14-_pU),[image] ([pdf](zotero://open-pdf/library/items/B3AXV6A8?page=9&annotation=3WLNKML7))  ,,,,\begin{array}{l}{{\Lambda({\bf t})\;=\;\theta_{1}(t)\mu(t)^{\theta_{2}}}}\\ {{\theta_{1}(0)\;=\;0.109062}}\\ {{\theta_{2}=\;2.6}}\end{array},Oui,
Tolerable rate of change,22,PAGE02," Tolerable rate of change , Tolerable regional multiplier ", Tolerable rate of change ,,22.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/jio9N6ZSMbTCmbDKwnJWgQ/KzxO1jgDnf-paYUjmroTk1Ogtm029gbdqLbXsRhbqGido69nAElPoIqMD-313MwmW9k1C5yHQGtQ5M8lPJXHpNvLmUp62hgtJV4QEMD-03C2cDMWvTk4E6QnZ9qlf1vY83XlL_xUFzI7DCwFhSWTCQ/WkJn4nven_Vo7yNOKA45VvVLeS_cfYjkJKPBTphnW9U),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=Z6U9GKJM))  ,,"Temperature, Parameter",Temperature,"T R_{d,r}=\ T R_{d,0}\cdot\ T M_{r}",En cours,
Tolerable plateau,23,PAGE02," Tolerable plateau , Tolerable regional multiplier ", Tolerable plateau ,,23.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/z9OjXo1LC3loFRSh9_4ROg/P6M_R9XyUSJHPNMMaYkH5C3GzVjHjhQaVVTakZKeX1AWXsQDoH1wtl025n2akfX0wkg2uAX3_JcUVZCmpE2HwUEhOdQ9dLwzTTetYPI91XmxkwAqzfz3wIw0gdZ_cgook6JAB2J4WG2A-G54EXlzGQ/-szNAxsOATY8uP-BZtAZKvAkO10NE13W8uFEbv_Up_4),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=5ZD6GLBF))  ,,"Temperature, Parameter",Temperature,"T P_{d,r}\underline{{{\Sigma}}}\underline{{{\Sigma}}}\underline{{{P}}}_{d,0}\cdot\ I=0\L_{r}",En cours,
Adjusted tolerable plateau,24,PAGE02,"Plateau nonegative factors characteristic to an adaptive policy, Tolerable plateau ", Adjusted tolerable plateau ,,24.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/5xKIa6VOI3b4-hH5tmWDig/HtXge_5wb9iJplMshGio_YDmPY_lsNSrROUMonDRYwY6r6Ugr_zpw-NSWzczGlqfum7WJ0WLzkgwbVSMEJ_3i-KjvVYKBvrPsgAKIOIKnN7vYWk3YIYeV8M91DNyYRwJS7yhdn2Js32-jwv72hiJDQ/o3C9947LNSNgjQqosoqnu4Y3_QS2__TH1l8rPlFroIQ),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=NE44W4FS))  ,,", Temperature",,"A^{\prime}T P_{i,d,r}\underline{{{\bf\Lambda}}}\underline{{{\bf\Lambda}}}\underline{{{\bf\Lambda}}}\underline{{{\Lambda}}}\underline{{{\Lambda}}}\lambda\alpha^{\prime}\underline{{{\cal\Psi}}}_{i,d,r}",En cours,
Adjusted tolerable rate,25,PAGE02," Tolerable rate of change ,Slope nonegative factors characteristic to an adaptive policy", Adjusted tolerable rate ,,25.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/AJiFX3Ue_JHlPge63QKOyg/OcbDz7YD0r5YfIjPVb-0uo_DIXF1zjSW0sK4CxU14e2yjQ7JX2nepq4O9YeHRXKa8Q6H8rpmirZByNidfpNYJKYI0_cT40jSf1ha7d-fVDnMxwGPR4yDpplbstD5jT7o-sJDIKm2dQyJdsts1GMcww/_5-wS8Ccn6_1b3gpMSv4tGJSICcna2gyowOlPFURmE0),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=KKNXVJBW))  ,,"Temperature, ",,"A I I\!R_{i,d,r}\underline{{{\longrightarrow}}}\ D\mathsf{)}_{d,r}\i\!\!\slash\k\mathsf{P}_{1,d,r}",En cours,
Adjusted tolerable level,26,PAGE02," Adjusted tolerable plateau , Adjusted tolerable rate , Adjusted tolerable level ,GDP in region r at time t ", Adjusted tolerable level ,,26a.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/B14e0Ccr3pjA-elVvk8iBg/qpXTAyr5-U-lodGnaLjmPlxv5ZznXH8HRx6tfs-fA4z-cayPIuSOcoq5ZLecr8ny4_XspN5BY510zNA0c6eqe4D8jTkOKun0LQ8u7Ze8gZ4HICs5TvhpwjCLaGt5Ye1spB_hRapJbBh5j1SU1A8Y_A/rkNMkeyqhpB18WY-Ome55PVXhHkpxLKCd-yXW1NQI-8),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=SCSZD24F))  ,,", GDP",,"{\cal L}_{i,d,r}\,=\,\mathrm{In}\mathrm{ax}\left[0,R T_{i,r}\,-\,A\,T L_{i,d,r}\right]",En cours,
Impact,26,PAGE02,"Regional mean temperature in degrees Celsius , Adjusted tolerable level ", Regional impact of global warming ,,26b.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/smIu1YtvhqSJujB6SpJ5iA/VoSzwQtVcqE21hnb3Bg6t1-TeSu_FGN022F28xqKNpKduI9i2SQuUMz0OQ7dmPQjO0E4Sr-Kc6jsrwY5lgP5npuYwIjFGQ2-Tm_P_Pi-Esow-ZZQLmmZVgggSecWTqAQs-HH2Z6bTlv-9qcd0xBPxg/eOeX08bwq9FxqAqdUTQMV4Hu7FQgNmyOjZ4JYa5SU6w),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=TK54GLDT))  ,,"Temperature, ",,"A T L_{i,d,r}=\operatorname*{min}\left[A T P_{i,d,t},A T L_{i-1,d,r}+A T R_{d,r}\cdot(Y_{i}-Y_{i-1})\right]\frac{array}{a,d,r}{a,r}=\sum_{i=1}^{M}\frac{a}{a,r}>0^{2}.",En cours,
Impact of a discontinuity,27,PAGE02,"Global mean temperature ,Temperature discontinuity", Discontinuity impact ,,27.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/M-ldq9yDxx9aIv8NmZAu_g/Rm1oJVXndVBg17IiGjYt_n-En-c5fuuafwiKseiEUpD_iAZdrO-LiKCOjRUBc1GwOY5ak34JjCp-MC8RosqhEaTIsEgiWGa8bpeFMQRuW6ptvCZro8LO4fxLO0km7F7fahHsoAHiNFUJHrnQMy14yA/qeTfJOqeekz8KZj2w7DV56egKH2_tOjGpGdNJkmGADk),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=3YRX8W5N))  ,,Temperature,,"I D I S_{i}=\operatorname*{max}[0,\,G R T_{i}-\,T D I S]",Non,
Weighting of the impacts,29,PAGE02," Weights for monetizing impacts , Regional multiplier weights", Weights for monetizing impacts ,,29.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/QuLc341yCOJRJ_FMQGYPtg/hIAhChI0_I0hEKBtSSDKKrgHA0LISvy2-xg8_w0q0rN6K0KtBC2lvNtNWXXBadP5BgVObal_msHEGsnLvWWfTYsP84LCZzfe4_LOmKN8U6px0QR5L-YyXLOm6o8DYELxqO9ctyVsIU1SEMZ6u9cCvQ/N1cFOACtuAoFIpQYh5bZlv9iNhlVNzn39GZoqP_kMP4),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=KU4ZPJ2X))  ,,"GDP, ",GDP,"\bar{W}_{d,r}\implies\bar{W}_{d,0}\cdot\frac{W F_{r}}{100}",Non,
Weigthed impacts,31,PAGE02," Power function exponent , Weights for monetizing impacts , Regional impact of global warming ,GDP in region r at time t ,Adaptative policy", Weighted impact ,,31.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/64NU48SJ8Gcn7y2vqdvU0g/wbWOCPW9762X3VYQykkLJwtOeQzvf8ViLkIAtYO1_NTt1Gvfc9yTE0AdMIf9eXAbFGCEYMAedAb6XnNKFmkP0XXi3XMb8mjMt0_axqWbkUTelJeXuvwDIp1VGJnM8b5XwIuieKxBEXz-Lu_8L56rcQ/oVWzuK-fT4VXy8QDM6oJ_yU3Ztt8TsZeXUsUxvHg89E),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=I9VTZGV5))  ,,", GDP",,"W I_{i,d,r}=\left(\frac{I_{i,d,r}}{2.5}\right)^{P O W}\cdot W_{d,r}\cdot\left(1-\frac{I M P_{i,d,r}}{100}\right)\cdot G D P_{i,r}",Non,
Certainty equivalent of the risk,32,PAGE02," Discontinuity weight , Discontinuity impact ,GDP in region r at time t ", Weighted impact of discontinuity ,,32.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/1i6mLwxewHyRZBEVz_KOkA/shQd9897j7I5qMWOCtJQRJdbQLqwkEEMsbBVKz22tV20NdLWS8s4VvqQrX3ynndjQNxX9rvanLefP0KEZ3K-9axV250M3K4cG6Ta-wwRqFgWdnz7XcSxbUeFX9ge1yiCCnuj2aqz0rJzH5gn0tSz5w/cbLRHxnQJnBiJs4O4fBVi6akMim4RL2czCKLtuvcHks),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=SH86S4R5))  ,,", GDP",,"W I D I S_{i,r}=I D I S_{i}\cdot(\frac{P D I S}{100})\cdot\,W D I S_{r}\cdot G D P_{i,r}",Non,
Total weighted impact,33,PAGE02," Weighted impact , Weighted impact of discontinuity ", Total weighted impact ,,33.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/E1OFGvdg2YiPehO2VZGg0A/MyBJcD1AfQawBh6IMSLzwbjuLH-gg7PtwX6IJ5jYqzsQanTzFumkE_Vg3SkKwBoCYc_3lQw1EIxKjvt3uLpndNWJvg4tm1LNE98XO0uLv1JPwywxpZxBkotnmzcU8O5hOqI_0aAmdwgS4bl6YTVVlg/VB96QfOea-Bb4Sy-hRn7JJGyLnE6gNizQV6ZPZbCSjc),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=5TEQ7U5C))  ,,,,"W I T_{i,r}\stackrel{_{\textstyle>}}{=}\sum_{d}W I_{i,d,r}+W I D I J J_{i,r}",Non,
Adjusted damage,38,PAGE02," Total weighted impact ,GDP in region r at time t ", Adjusted damages ,,38.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/o65lRuCOJsU64Ew4a2cSqg/lLCxKcrGolfCSBWRWxTta5K5-YGzRUk6Z1XPrQfvCWEKfyJJ0naJ_EovUFH6el81wrjp1cFDS8JzARDi7ipnXtwpp_EY7NmUBL-mc24bCxe1FdfwJAihrJERVdo9n54caKbcI2jODR09OwocgUDvUw/jYMY7g_Qvy3AAJmLwKuC4z9PZwYGpGPl6qvaH8xeSpI),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=27&annotation=A5MEPYP4))  ,,", GDP",GDP,"\ A\,L\!\!\!\!\slash\,\L_{i,r}\,\longrightarrow\,\ W\!\!\!\!\slash\,J\L^{*}\!\!\!\!\slash\,A\to\nabla\!\!\!\slash\,\L_{i}\,\longrightarrow\,\L^{*}\,\L_{}\,k\,\L_{}\,\L^{}\,\Psi=\,\L^{*}\Psi_{i}\,\L^{}\,",Non,
Discounted damages,39,PAGE02," Adjusted damages ,Discount rate for impacts", Net present value of global warming impacts ,,39.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/EQsNXSme1kGpqysVTyuv_g/mIfy5cooP6egYxN2PfobsrARZF6bLAtYentJ3FTp5erYzLvyVpg8NL4eUzw9-pyBf65JFe-YnVbAamgmLR1hmiy5YF5ZPqvkTg3usCuJG9hvG8TS7DLnPafKY_EYz5ehkf11s1KMhKfAMRUPdsFLoQ/Uk4sYLiYkLm59brzGlNgtbnGBXU1xyO6S5RxAbdEbaU),[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=27&annotation=U3RCL4JM))  ,,"GDP, ",,"D D=\sum_{i,r}(A D_{i,r})\cdot\prod_{k=1}^{i}\left(1+d r_{k,r}\cdot\frac{r i c}{100}\right)^{-(Y_{k}-Y_{k-1})}",Non,
Damage function,12,C3IAM, Climate damage fraction of gross output ,Change in regional mean temperature ,,13.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/TR81C1XCfcmZ5QxCgNBLrw/4Os_tuuY6RWEFMpcm_h9WdqvvkrTl9HXGrTodOwSLDIVh7DjmHk0iZ84Zf26eKo4noewX_yJ6ryO3_RQNbaa30xEyYW342xNpS-cgCPUsz1A33TEEZHjIhJt6wcYvWblQ2juhar9MjemL9VpFN6BRw/DSJIVPa0B4XnpCQ5F0iE5K86X5azIIUElWi81CQcQ2s),[image] ([pdf](zotero://open-pdf/library/items/SNXRQX43?page=11&annotation=8PUY3RBF))  ,,GDP,Temperature,"D_{i}(t)=1-\frac{1}{1+a_{1,i}T_{1}(t)+a_{2,i}T_{1}(t)^{2}},",Non,
Productivity of land in agriculture,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Productivity of land in agriculture,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,En cours,
Productivity of land in forestry,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Productivity of land in forestry,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Fish stock,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Fish stock,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
