Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Human health : vector-borne diseases,HV,FUND v.3.8,"Climate-change-induced mortality due to disease c in region r at time t ,Mortality from vector-borne diseases in 1990 in region r ,Time,Region,Vector borne disease,Parameter indicating benchmark impact of climate change on vector-borne diseases ,Regional mean temperature in degrees Celsius ,Gross domestic product per capita,Change in regional mean temperature,Parameter for degree of non-linearity of mortality in warming ,Income elasticity of vector-borne mortality ",Number of additional deaths from vector-borne diseases ,,hv.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/cTdD3bSgDxdOT9QRDPTUUg/D1U2qNrkjW8iK1TR0NGYMPetBcqbrZl8Y9It-SyioC2a4pRjJC6UEP9C74jnqXbLiB0Ln9bGqyFO3OSoNX4Ejodij4ThC5EhcE_lSPXyBJUowAN8TFbkmZuB4ufr4sUEl2IUZ9vvOhw3fkH4CGJg0w/E1dqVVSE4LxijqxtqHEHQXY_-jtGRPwqoQ0-WVhyEEs),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=17&annotation=XNSE353L))  ,Infectious diseases,", Temperature, GDP",,"D_{t,r}^{\nu}=D_{1990,r}^{\nu}Q_{r}^{\nu}\left(T_{t}-T_{1990}\right)^{\beta}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\gamma}",Oui,
Human health : cardiovascular and respiratory mortality,HC.1,FUND v.3.8,"Index for the disease ,Current temperature of the hottest or coldest month in the country ",Change in mortality due to one degree global warming ,,hc1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/aDNFfJuL6HqzfpVTELr5Og/uqAvGIgtkLSBVR8QJBFlN1Eq63SNp1MDr9KceR39PsUfwwARD0CLv-nYCkSPIHIaIkkvja6NrGSQl6FNS7Wf1p2uymt98YKMGcnoqN5OY9SxeJZrcckeyYLoFj750r22792L17hhPwcWDDiZ1-Ucdg/ylMmCqVOQ053fHLCQsBjLjiG1N5twjEtp7uxwN_s80Q),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=18&annotation=CL2YMIC5))  ,Extreme heat,,Mortality,{\cal D}^{c}=\varrho^{c}+\beta^{c}{\cal I}_{\cal B},Oui,
Human health : regional cardiovascular mortality,HC.2,FUND v.3.8,"Region,Time,Change in regional mean temperature",Climate-change-induced mortality due to disease c in region r at time t ,,hc2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/Ryq7LLCNGt0mVhnp8xwXTQ/Nn4t6ZOtPTvAouwNQvBEXmLeysi_u0wSNrmh9bcV2vzr59FkQRLg7_XTcFE4T9JNaxE18fxUZlW-YkSQ9LbP19uhXiHpJhZYwf8oWLuRtHaTsBMEAjrwpj8TmtaFWrf8pxj51IVVGdPd-EHmD0bwPw/1gVMdtmDtoSJEWBKkdnTiD6TUMHCbdAZNiovi0x00Kw),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=18&annotation=AWVUZ27W))  ,Extreme heat,", Temperature",,"D_{t,r}^{c}=\alpha_{r}^{c}T_{t}^{2}+\beta_{r}^{c}T_{t}^{2}",Oui,
Human health : heat-related mortality,HC.3,FUND v.3.8,"Gross domestic product per capita,Population density ,Time,Region",Fraction of people living in cities ,,hc3.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/boTQytDIRvQ0HFwAB9i9Nw/XlozpsoYyuc6sYNogDThgW3MVOHHTKgOvfO5P-F80RaJ359LmbVH8nbxey3Rvqk7baX_QHDYnyi1neyVHPx75Lh0KA0W14XvuU2vNv6s2sY_Ueaw78bkjTIDHQpM5rD9VSERa3RPE6aE7lrNpqAAtw/-sJCRmoS04oaG9Ckasj7rEuNuWecinSMpfwAEZuKBdw),,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=19&annotation=BCCGDXPN))  ,Extreme heat,"GDP, Population, ",Population,"U_{t,r}=\frac{\alpha\sqrt{y_{t,r}}+\beta\sqrt{P D_{t,r}}}{1+\alpha\sqrt{y_{t,r}}+\beta\sqrt{P D_{t,r}}}",Oui,
Extreme weather : tropical storms damage,TS.1,FUND v.3.8,"Time,Region,GDP in region r at time t ,Current damage as a fraction of GDP ,Gross domestic product per capita,Income elasticity of storm damage ,Parameter indicating how much wind speed increases per degree warming ,Change in regional mean temperature,Parameter for the power of the wind in the cube of its speed ",Damage due to tropical storms in region r at time t ,,ts1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/QKES7oYJeSpJpRkiQamg2g/ELbG0-n3w3AgbELEU1MnCFUdhEHiC-mtBMoV8H5GDJCn6rc0lBs7evihyaFg9g2tRMOoLtr6PgY9mRxbKTQm_iMM013fnR2irtBIOoUPC3MrrRBSr-dZnZGQ1uUp-NE-Gkk-tjajqGoMG3JdVTPRIQ/8ABL_QKoOi4En9X5KF0xjjcNT8raxAkcoIjfuDqpnWk),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=19&annotation=TNF9KWNC))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors",", GDP, Wind, Temperature",GDP,"T D_{t,r}=\sigma_{r}Y_{t,r}\left(\frac{\vartheta_{t,r}}{\vartheta_{1990,r}}\right)\left[\left(1+\rlap{\textstyle{\mathcal{D}}}{\mathcal{D}}_{t,r}\right)^{\gamma}-1\right]",Oui,
Extreme weather : tropical storm mortality,TS.2,FUND v.3.8,"Time,Region,Population in region r at time t ,Current mortality as a fraction of population ,Gross domestic product per capita,Parameter indicating how much wind speed increases per degree warming ,Change in regional mean temperature,Parameter for the power of the wind in the cube of its speed ,Income elasticity of storm damage ",Mortality due to tropical storms in region r at time t ,,ts2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/-hoPnPlt9TcllOwzChQlEw/eF6C811qlD_MnRiJMtJRfVtHrnY8mJcqHhqrokBrYYQSSfkauGLRpqn6dttmuu9tYOyQBNubUyc_OnteU5c0DM8xDzLuLvghOB2jG3it4gZp9A3pwLaLqEeaMODyb_ewwL8mu48UbIsb_enV1YnArQ/C2UJlMs6OFWYWI5OPDsPAWnXiqBJnobHPfNfWCErhhE),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=20&annotation=27WRANPN))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors",", Population, GDP, Wind, Temperature",Mortality,"T M_{t,r}=\beta_{r}P_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\eta}\left[\left(1+\rlap/\partial T_{t,r}\right)^{\gamma}-1\right]",Oui,
Extratropical storms damage,ETS.1,FUND v.3.8,"GDP in region r at time t ,Benchmark damage from extratropical cyclones for region r ,Gross domestic product per capita,Income elasticity of extratropical storm damages ,Storm sensitivity to atmospheric CO2 concentrations for region r ,Atmospheric CO2 concentrations ,Pre-industrial concentration of CO2",Damage from extratropical cyclones at time t in region r ,,etd.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/bwl-FogMq3BZaTgi43aVDg/vkA8Cn4kuybo-4Q8i8ULDrl1nBqhRj9InHBUjb4Ioy9QFFjcWaruMhrnnQjLyRh6XNG50Z1Mk2M2ogNLPSh8j7CHhhlDHv9pHcMBtqWm96jD7S6UmmNunsddWTmVmN8rPJCoQQjIsflfcJiLgIFjww/qm81LC9V4JW0vzKApg-va6_jmx75nTrD-OC4llfyEII),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=21&annotation=UL22ZER4))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors","GDP, , Wind, CO2 concentration",GDP,"{\cal E}T\!D_{t,r}={\cal Q}_{r}Y_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\varepsilon}\left[\left(\frac{C_{C O2,t}}{C_{C O2,p r e}}\right)^{\gamma}-1\right]",Oui,
Extratropical storms mortality,ETS.2,FUND v.3.8,"Population in region r at time t ,Benchmark mortality from extratropical cyclones for region r ,Gross domestic product per capita,Income elasticity of extratropical storm mortality ,Storm sensitivity to atmospheric CO2 concentrations for region r ,Atmospheric CO2 concentrations ,Pre-industrial concentration of CO2",Mortality from extratropical cyclones at time t in region r ,,etm.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/bEUPTUUlmXDN5bsH4vW_xA/7SLibV5GmKpDH4ZiUsYHmYxj3doUHPV8ohdI6V4Y07EGL55sk6bFmAfU0G-8x1Ap5aNIDpTD3KV4T0YW-DhaRGpOr6ic9WiL_8HNptDs6H96S_7h4Fnn_v6lygJ8Sn6AVox1wnaYHQStJYIleH_Y7g/tbvoF4Oe9WnySodKZCrlcU2Dowo38KZBB8RsyrYOneM),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=21&annotation=ERSA7FLF))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors","Population, , GDP, Wind, CO2 concentration",Mortality,"E T M_{t,r}=\beta_{r}{\cal P}_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\varphi}\widehat{\cal O}_{r}\left[\left(\frac{C_{C O2,t}}{C_{C O2,p r e}}\right)^{\gamma}-1\right]",Oui,
Value of a statistical life,MM.1,FUND v.3.8,"Income elasticity of the value of a statistical life ,Gross domestic product per capita,Normalisation constant ",Value of a statistical life at time t in region r ,,vsl.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/mZtkpbNUt7BXlSiH_U9IiA/aQKeORO_Mt0aOT5nCnRx1X91snnIWS5LRMXZndaqpWLKqc8uuGDhNog-oubpq7NXyuiWoj7T3xRTl_6xZeQDH32VjESSSG6p64cd3KRi8LQ_8FihWrxh7zfWT9WIZh2_CTziUxUC5tyo4-sz3RCmzw/vWAXRpCLxHomdmckSWC4dmR411iKBVKSaHRj9u7Aucg),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=22&annotation=5IJPHFP2))  ,,", GDP",GDP,"V S L_{t,r}=\alpha\left(\frac{y_{t,r}}{y_{0}}\right)^{6}",Oui,
Value of a year of morbidity,MM.2,FUND v.3.8,"Gross domestic product per capita,Income elasticity of the value of a year of morbidity ",Value of a year of morbidity at time t in region r ,,vm.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/nHZ06rlP9nexEQ22ShB_BA/xCyTlxklS1Haql6_8l3S1GRpp_Z8JTdnK72qhneyC9tudrkyRLaGPKEY4WGV6gOAp25CIDHuJbsa3r3dOUVvzrVcg9KqmkkswG3mrKwTovj5dI1XHlEqG5d9L10WNo0I9-HATcamQ-68OWRTqcC58g/mWySp7-mg6ciAzx88-53JTpi81zDqYB73KkTItSXba0),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=22&annotation=4M7ZJN2E))  ,,"GDP, ",GDP,"V M_{t,r}=\beta\left(\frac{y_{t,r}}{y_{0}}\right)",Oui,
Damage function,5,DICE 2023,"??1 (psi 1) ,??2 (psi 2) ,?? (T) ",?? (omega) ,,5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/gOWAwN1c2dKuVRLUXkp5gA/gYXhSQWXG47udbjFazrb7c28B7MYVH-Dl0tlAI2Bdq0tmLI2-SdT-GpVuCuLqP3sDnLdRJCkfzJJJQDdKJ2dKXbq2jpiHobcXWXAYDB71UKmBntuqpkn_MB1Va1qZdqMaYZOsbv82mxB-GOQeGyXYw/Zc8DGZ_TdyijI1qF7F-6czZBwttCLmxkVUERgzAtxZM),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/B3AXV6A8?page=9&annotation=3WLNKML7))  ,,,,\begin{array}{l l}{{\ }}&{{\displaystyle=\psi_{1}T_{A T}(t)+\psi_{2}[T_{A T}(t)]^{2}}}\\ {{}}&{{=[0.0]T_{A T}(t)+[0.003467][T_{A T}(t)]^{2}}}\end{array},Oui,
Abatement costs,6,DICE 2023,"?? (mu) ,??1 (theta 1) ,??2 (theta 2) ",? (lambda) ,,6.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/kOBkrObVmzTCqdo0FR3FWQ/oBU4zH8g4e3CboJBiDLzCMupENREAWoDe3iW5FOhO7fKebPkj6eVHqQP_SHUQ2VIERLvM6kvh9-XX8cBZkl6YEr87MInMu-tNHQZmLDQU0SqSlP44zy9q4SbMZkr_5s0z6huEqoE7o5mFDm7reR2Ug/jEPI97PeVIx5uBIM3rEzIleGQRlcVD2NUfF61aNmXNc),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/B3AXV6A8?page=9&annotation=3WLNKML7))  ,,,,\begin{array}{l}{{\Lambda({\bf t})\;=\;\theta_{1}(t)\mu(t)^{\theta_{2}}}}\\ {{\theta_{1}(0)\;=\;0.109062}}\\ {{\theta_{2}=\;2.6}}\end{array},Oui,
Tolerable rate of change,22,PAGE02," Tolerable rate of change , Tolerable regional multiplier ", Tolerable rate of change ,,22.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/VcPxGl33imx1orCzebJURg/Chrj71WoU8qALvBSyAN-V-RxhSsh_nCIkSQt2IOSBpHph5vMm6r1SzDdBFSG2NSsFVvc8I0feQOVNeeumDI41aeP6QlNCvYI2rISwZSUBC4SviiUP3XDuOFdTnDESzhWoNLElb3ZAocjQ--0ZbzP5w/JCdn9025LHOeYJuTXK9GTFzq4iUuInt_lciyJqn6oK8),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=Z6U9GKJM))  ,,"Temperature, Parameter",Temperature,"T R_{d,r}=\ T R_{d,0}\cdot\ T M_{r}",En cours,
Tolerable plateau,23,PAGE02," Tolerable plateau , Tolerable regional multiplier ", Tolerable plateau ,,23.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/q-uKJWt1g7yJftDmUORZfA/mCML-xGD34SKYSEzgYbrf75lIveu0uCYf_p8jZh2Orokewe8F_XgxfjQDerl669XrhfMueY0G1Y04Y2ttsfujFtEza7TGMJlYw6-JLgekdNGL5Y9vbq4TJAa1w0R0wtJqyDjR6rRFggXemBCmv3I5Q/8jVmUClgNoPnjJqvD7qituw6O6jVWoD_aUDiwFv5yRY),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=5ZD6GLBF))  ,,"Temperature, Parameter",Temperature,"T P_{d,r}\underline{{{\Sigma}}}\underline{{{\Sigma}}}\underline{{{P}}}_{d,0}\cdot\ I=0\L_{r}",En cours,
Adjusted tolerable plateau,24,PAGE02,"Plateau nonegative factors characteristic to an adaptive policy, Tolerable plateau ", Adjusted tolerable plateau ,,24.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/sFHXx4bNBdWLbAU6ZKegcQ/wG5T_d418l2MRuxSXQjA0eAddriYgoKIywrgZ2aUVLXUHgYEsLMVwJCA9PkWkE7_lAsLkwUnvMi6mFMOK-SNNAnPMrQdU0FGGAh5fNVqi76VXfYhkFsU9u5e2N6aRdzRWeibcSbQbV0oMKQ5uZxFlQ/T0A4cjJ8PDdRdGM3SyEZPcz_oTSGT43Z4vfWlWKTmds),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=NE44W4FS))  ,,", Temperature",,"A^{\prime}T P_{i,d,r}\underline{{{\bf\Lambda}}}\underline{{{\bf\Lambda}}}\underline{{{\bf\Lambda}}}\underline{{{\Lambda}}}\underline{{{\Lambda}}}\lambda\alpha^{\prime}\underline{{{\cal\Psi}}}_{i,d,r}",En cours,
Adjusted tolerable rate,25,PAGE02," Tolerable rate of change ,Slope nonegative factors characteristic to an adaptive policy", Adjusted tolerable rate ,,25.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/GAuYt8HYXYzZC8zsDG4hrg/vR1nN5v0rAGckPWZHuPlsfnIZruor4rM0tn-CF61Rx8u70RVotAQ11IXCKZEJr-eeXaQVMPaOz6SFe51DhCW1557_r789wUltt9eoXZEXGChySBh9YhVeh2lnjgSxy8Ksm4RnS90m-Cxlu0gHg3XTQ/vwdfs4u86P3tMTfWpxr7t0tNPFIdmgYcCC_UCLPLMEM),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=24&annotation=KKNXVJBW))  ,,"Temperature, ",,"A I I\!R_{i,d,r}\underline{{{\longrightarrow}}}\ D\mathsf{)}_{d,r}\i\!\!\slash\k\mathsf{P}_{1,d,r}",En cours,
Adjusted tolerable level,26,PAGE02," Adjusted tolerable plateau , Adjusted tolerable rate , Adjusted tolerable level ,GDP in region r at time t ", Adjusted tolerable level ,,26a.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/mcwL_QuTXcgWqMONbfTDAw/KIFdOtgniKrVaBgHhy5i6Q1InbAlC9T5Fi2TdU81t5OiooKWS2WG0sVMM4LUpUiUwRO4NMDeCo5xM1tlgjOdiHAHhRpmxzIh3MIwxZG1wNepjLaMDVMG6mvzMlMyEU2_P1jw1aPwSRpuW7D3YxVQTQ/XbxrCxs6xuhCLMhlF_glkcQqACIR_OGOrgskP4iLAVQ),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=SCSZD24F))  ,,", GDP",,"{\cal L}_{i,d,r}\,=\,\mathrm{In}\mathrm{ax}\left[0,R T_{i,r}\,-\,A\,T L_{i,d,r}\right]",En cours,
Impact,26,PAGE02,"Regional mean temperature in degrees Celsius , Adjusted tolerable level ", Regional impact of global warming ,,26b.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/PEXCnYWn-ejcVe5Z9WS7wg/48GEspBMavRgiXwEidrNttlsXWn8gqahsTGUwTIJLUx6nL82UNH7GTCsFCsUMDG6ojFoHfVVQGmBIK5PetE_GhaPOJXlKMcKAszFtRnIchGL8uxthgUMp3Gv6MTGXddt-jHxRhHoyayeBZfYErtrrw/dxky1KEq2yhf4m8dFdFGQ5LidwwFo61K7wRpsXpE2XY),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=TK54GLDT))  ,,"Temperature, ",,"A T L_{i,d,r}=\operatorname*{min}\left[A T P_{i,d,t},A T L_{i-1,d,r}+A T R_{d,r}\cdot(Y_{i}-Y_{i-1})\right]\frac{array}{a,d,r}{a,r}=\sum_{i=1}^{M}\frac{a}{a,r}>0^{2}.",En cours,
Impact of a discontinuity,27,PAGE02,"Global mean temperature ,Temperature discontinuity", Discontinuity impact ,,27.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/AY7wQW61fLGetf9N-7Jn1g/IdH6wczjbmNDkqDPv7J2Bsq8sSkQuxJ_snfI_I6e5R7Ip62XrdKNWTjQp7tMuXPTIC_DVP22VepXBdBpxD_ONJiVKNIF9lLk4ufkg4cQiqh_m-zUpe3h_E348HDvWNjcD5cdem7MZTFgKL9t6TThLg/3cYpFlMCZroidqO8fapP863UN53aMBySIIq-7g0Z0Ms),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=3YRX8W5N))  ,,Temperature,,"I D I S_{i}=\operatorname*{max}[0,\,G R T_{i}-\,T D I S]",Non,
Weighting of the impacts,29,PAGE02," Weights for monetizing impacts , Regional multiplier weights", Weights for monetizing impacts ,,29.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/8T3w1p9yudf2Q-f6b7Bf7w/XpLElzNx-THhveYy5Ro2ZK2xxHsPy8UNlkXqS2dyzJvr3Ubsl2eYzwTz9CSrY1UuHy0S9PN1D3HVNswcI4B9MS5TDoL-E7jkC1dPbodAkW2L4w0Z7DFZKh4tM6sw8H2r2197odPgn3gEWIMvl5rO1Q/_srP9C3jNmcWmqlDeAVtOwWcLEDQQ8QA6QiCqJVDyhQ),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=25&annotation=KU4ZPJ2X))  ,,"GDP, ",GDP,"\bar{W}_{d,r}\implies\bar{W}_{d,0}\cdot\frac{W F_{r}}{100}",Non,
Weigthed impacts,31,PAGE02," Power function exponent , Weights for monetizing impacts , Regional impact of global warming ,GDP in region r at time t ,Adaptative policy", Weighted impact ,,31.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/okM7uUyAXuH_ok4QXN6fow/JSy_Iw7e1ftj3UmdYmldMi_HHBnhUzg5SxUzUiAQE6dGLfQNVtKWHysfw9AI_HHNmu1Sh-qm9my8sDiV5YzTBL3w5cd28qXXf2uXvqU9HEOOM8VTKlYO2h5meanKcL-FxVwkdA0844j5KbpNe-m39g/uJXehdPosS8Qox1ekh-gwkPJXkSVepIiM_zx-bRJYEk),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=I9VTZGV5))  ,,", GDP",,"W I_{i,d,r}=\left(\frac{I_{i,d,r}}{2.5}\right)^{P O W}\cdot W_{d,r}\cdot\left(1-\frac{I M P_{i,d,r}}{100}\right)\cdot G D P_{i,r}",Non,
Certainty equivalent of the risk,32,PAGE02," Discontinuity weight , Discontinuity impact ,GDP in region r at time t ", Weighted impact of discontinuity ,,32.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/xfbnjpCamubT1C2ezE9V-w/BQ1rrRNfUPHMUA5qGwyNxu3ezfY8H2fwFEfCpsuDTkRVUZb8trSMrhBnKTYATnoOx1BT_6qeuTTu-aQs0VTnUQI3FU1aBmM57aUy2_xmXXMqufHGl0vBChoazs2p1oDyRI21zZTXqY2NqW_hnP8T5A/p9UqupU-CasHxbVNaz64Gls6ywHBtOGboV6J7NtsDW4),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=SH86S4R5))  ,,", GDP",,"W I D I S_{i,r}=I D I S_{i}\cdot(\frac{P D I S}{100})\cdot\,W D I S_{r}\cdot G D P_{i,r}",Non,
Total weighted impact,33,PAGE02," Weighted impact , Weighted impact of discontinuity ", Total weighted impact ,,33.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/Msmimqg3HSqBnyY5rTgMUA/o6xTwfeyyCYXdNAMad_DCeW2LGi3MB7Cp0CWCTuQTUqu4bNLLTy2WFsTMuIETeCmxVdI2rwR9SoEkuuKRpyMhRCseyRmtRfxKrMSHjFPlzwtmFMdAy1IWk-p1NCUVtN7G4enJ-vdV8hYuVlvLc3bIw/lMl_d__XGgMHDFSHzxQj_ctSvms7lxdFRWklawFoJ9c),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=26&annotation=5TEQ7U5C))  ,,,,"W I T_{i,r}\stackrel{_{\textstyle>}}{=}\sum_{d}W I_{i,d,r}+W I D I J J_{i,r}",Non,
Adjusted damage,38,PAGE02," Total weighted impact ,GDP in region r at time t ", Adjusted damages ,,38.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/6xN55Zn_x12N-DhYNKfBrA/nDk_aiIWMnKXifHrzwq4cHmgvgrqxQoT9IB12oIt-mEVCXf-rnX1SBjVcXxkSdDpDiGavfvI1vBolS4aYqk1ng_YTfzRd7f7lXeo3GPj4ahSN_Aalv4-kaLLeF5-CAunSSqapsgombh4RezbZLAOjg/aXTLkF1icQVUgMoNqAcUPboiA3sqPOXr-BD9SgSQrX8),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=27&annotation=A5MEPYP4))  ,,", GDP",GDP,"\ A\,L\!\!\!\!\slash\,\L_{i,r}\,\longrightarrow\,\ W\!\!\!\!\slash\,J\L^{*}\!\!\!\!\slash\,A\to\nabla\!\!\!\slash\,\L_{i}\,\longrightarrow\,\L^{*}\,\L_{}\,k\,\L_{}\,\L^{}\,\Psi=\,\L^{*}\Psi_{i}\,\L^{}\,",Non,
Discounted damages,39,PAGE02," Adjusted damages ,Discount rate for impacts", Net present value of global warming impacts ,,39.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/BSRh5ZH_Rw-7FkdQfXIYjQ/MPkW8aBLQ-hyhCUkPTqHiTOgMUqddpt8U4K85MNvMSgtA2ggr1b_D3e4qsoGQQqxuQR6_2XXOmqu33M7Jb4wRhM3ZFEX7sZylqhOY7JGrjYEan6-Bj9s4_mgJtQYIZ1YT-XVaFVpIw5_cunSylTbaw/tegbqQopUvKuSZahbWPPanS9dZwlT74sfZ7UJ6iFUvU),,[image] ([pdf](zotero://open-pdf/library/items/CV9MZG2V?page=27&annotation=U3RCL4JM))  ,,"GDP, ",,"D D=\sum_{i,r}(A D_{i,r})\cdot\prod_{k=1}^{i}\left(1+d r_{k,r}\cdot\frac{r i c}{100}\right)^{-(Y_{k}-Y_{k-1})}",Non,
Damage function,12,C3IAM, Climate damage fraction of gross output ,Change in regional mean temperature ,,13.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/2me9g99yRdVlJXia9ghPBQ/tRYn_N6vNCugR9KQvdyo4cO7YoUtqOrFzmTYC25Xl-5J8BOYqyYZsyofWU-swFvvQqWkwpZZrvm1julkwB9u3_qGMfPWLBj3THd1kffmB4pxMYeSlErvrM68xpaa9w5PA2er_HUK7amCWXy-s3QQ2g/s1q8-wpFVJ8WuyS-G1hU9kmbLW-h3Zj-GMdTX5DkatM),Inverse quadratic,[image] ([pdf](zotero://open-pdf/library/items/SNXRQX43?page=11&annotation=8PUY3RBF))  ,,GDP,Temperature,"D_{i}(t)=1-\frac{1}{1+a_{1,i}T_{1}(t)+a_{2,i}T_{1}(t)^{2}},",Non,
Productivity of land in agriculture,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Productivity of land in agriculture,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,En cours,
Productivity of land in forestry,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Productivity of land in forestry,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Fish stock,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Fish stock,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
