,Real Name,Py Name,Subscripts,Units,Limits,Type,Subtype,Comment,Model,Equation,isEquation,Interest
1172,GLOBAL HFC EMISSIONS RCP 8 5,global_hfc_emissions_rcp_8_5,['HFC TYPE I'],t/Year,"(nan, nan)",Data,External,"Historic data + projections ""Representative Concentration Pathways"" (RCPs, see http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=compare)",,,,False
1173,GLOBAL MINERAL RESERVES 2015,global_mineral_reserves_2015,['MATERIALS I'],Mt,"(nan, nan)",Constant,External,Global mineral reserves approximately for the year 2015.,,,,False
1174,GLOBAL MINERAL RESOURCES 2015,global_mineral_resources_2015,['MATERIALS I'],Mt,"(nan, nan)",Constant,External,Global mineral resources approximately for the year 2015.,,,,False
1175,GLOBAL N2O ANTHRO EMISSIONS RCP,global_n2o_anthro_emissions_rcp,['RCP SCENARIO I'],Mt/Year,"(nan, nan)",Data,External,"Historic data + projections ""Representative Concentration Pathways"" (RCPs, see http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=compare)",,,,False
1176,GLOBAL PFC EMISSIONS RCP,global_pfc_emissions_rcp,['RCP SCENARIO I'],t/Year,"(nan, nan)",Data,External,"Historic data + projections ""Representative Concentration Pathways"" (RCPs, see http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=compare)",,,,False
1177,GLOBAL SF6 EMISSIONS RCP,global_sf6_emissions_rcp,['RCP SCENARIO I'],t/Year,"(nan, nan)",Data,External,"Historic data + projections ""Representative Concentration Pathways"" (RCPs, see http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=compare)",,,,False
1178,GLOBAL SURFACE AREA,global_surface_area,,m*m,"(nan, nan)",Constant,External,Global surface area.,,,,False
1179,GLOBAL TEMPERATURE CHANGE 2015,global_temperature_change_2015,,DegreesC,"(nan, nan)",Constant,Normal,"Exogenous global temperature increase in 2015. This is only used for avoid impacts when SWITCH_ECONOMY =0. GET_DIRECT_CONSTANTS( 'model_parameters/economy/Climate_Change_Impacts_Economy.xlsx', 'TEMPERATURE_CHANGE_2015', 'GLOBAL_TEMPERATURE_CHANGE_2015')",,,,False
1180,GOVERNMENT BUDGET BALANCE TO GDP OBJECTIVE DEFAULT SP,government_budget_balance_to_gdp_objective_default_sp,['REGIONS 35 I'],DMNL,"(nan, nan)",Data,External,"Goverment deficit or surplus to GDP objetive target. Deficit or surplus of the government measured as a % of the GDP. When the variable is positive, it means that the government has a surplus, and the expenditure is less than the revenue in that year, so the accumulated debt decreases. On the other hand, when the variable is negative, there is a deficit, and the government public expenditure is higher than the revenue, so the debt increases.Deficit or surplus of the government measured as a % of the GDP. When the variable is positive, it means that the government has a surplus, and the expenditure is less than the revenue in that year, so the accumulated debt decreases. On the other hand, when the variable is negative, there is a deficit, and the government public expenditure is higher than the revenue, so the debt increases.",,,,False
1181,GOVERNMENT BUDGET BALANCE TO GDP OBJECTIVE SP,government_budget_balance_to_gdp_objective_sp,['REGIONS 35 I'],DMNL,"(nan, nan)",Data,External,"Goverment deficit or surplus to GDP objetive target. Deficit or surplus of the government measured as a % of the GDP. When the variable is positive, it means that the government has a surplus, and the expenditure is less than the revenue in that year, so the accumulated debt decreases. On the other hand, when the variable is negative, there is a deficit, and the government public expenditure is higher than the revenue, so the debt increases.Deficit or surplus of the government measured as a % of the GDP. When the variable is positive, it means that the government has a surplus, and the expenditure is less than the revenue in that year, so the accumulated debt decreases. On the other hand, when the variable is negative, there is a deficit, and the government public expenditure is higher than the revenue, so the debt increases.",,,,False
1182,GRADE NUMBER,grade_number,['ORE GRADES I'],DMNL,"(nan, nan)",Constant,External,,,,,False
1183,GROSS FIXED CAPITAL FORMATION STRUCTURE,gross_fixed_capital_formation_structure,"['REGIONS 35 I', 'SECTORS I', 'SECTORS MAP I']",DMNL,"(nan, nan)",Constant,External,Gross fixed capital formation structure.,,,,False
1184,GROWTH MATERIAL INTENSITIES SP,growth_material_intensities_sp,['METALS W I'],DMNL/Year,"(nan, nan)",Constant,External,"Growth rate of Metal intensities for Copper, Aluminium, Iron and Nickel.",,,,False
1185,GW per TW units,gw_per_tw_units,,GW/TW,"(nan, nan)",Constant,Normal,Units for unit conversion.,,,,False
1186,GWP 100 YEAR,gwp_100_year,['GHG I'],tCO2eq/t,"(nan, nan)",Constant,External,Warming caused by any greenhouse gas in 100 years as a multiple of the warming caused by the same mass of carbon dioxide (CO2). GWP is 1 for CO2.,,,,False
1187,GWP 20 YEAR,gwp_20_year,['GHG I'],tCO2eq/t,"(nan, nan)",Constant,External,Warming caused by any greenhouse gas in 20 years as a multiple of the warming caused by the same mass of carbon dioxide (CO2). GWP is 1 for CO2.,,,,False
1188,Gas base price 2015,gas_base_price_2015,,$/million Btu,"(nan, nan)",Constant,External,Gas price of the year 2015 in $/million Btu. Price taken from BP Statistical Review of World Energy June 2022. Average over the regions. value in the year 2016 = 6.24 $/million Btu,,,,False
1189,Gas demand 1,gas_demand_1,,EJ/Year,"(nan, nan)",Auxiliary,Normal,"Gas demand in EJ/year. Either taken from historical data or coming from the interlinked module. Connection between the Economy,Energy and materials.",,,,False
1190,Gas extraction capacity excluding spare capacity,gas_extraction_capacity_excluding_spare_capacity,,DMNL,"(nan, nan)",Auxiliary,Normal,"Intermediate step for the Gas price calculation. Calculation is based on a LN function which describes the relation between Gas demand per year and Gas available without the spare capacity. The function covers the relation of the Gas price, the oil price and the behaviour of the Opec countries which try to control the oil and gas price.",,,,False
1191,Gas extraction without spare cap,gas_extraction_without_spare_cap,,EJ,"(nan, nan)",Auxiliary,Normal,Gas extraction without the actual spare capcity.,,,,False
1192,Gas max extraction capacity,gas_max_extraction_capacity,,EJ/Year,"(nan, nan)",Auxiliary,Normal,Maximium Gas extraction capacity per year,,,,False
1193,Gas price Mdollars per EJ,gas_price_mdollars_per_ej,,Mdollars/EJ,"(nan, nan)",Auxiliary,Normal,Gas price per energy unit.,,,,False
1194,Gas price econmy adjusted 1,gas_price_econmy_adjusted_1,,DMNL,"(nan, nan)",Auxiliary,Normal,"Gas price for the years 2005 to 2015 is set to 100 as a starting value-nominal price in the economy module. After 2015- Gas price index economy. The reason for this is that the materials module is starting in 2005, and is simulating with an historical demand until 2015. The economy module starts to simulate in the year 2015. The material module reports fixed values from 2005 to 2015 to the economy module, at 2015 dynamic values are involved in the economy module.",,,,False
1195,Gas price index economy 0,gas_price_index_economy_0,['HYDROCARBONS W I'],DMNL,"(nan, nan)",Auxiliary,Normal,Calculation of the estimated Gas price based on the price of estimated Gas price divided by the base price for the starting year of the economy module (2015) the result should be in the first year (2015) = 1 and then multiplied with hundered. This is the nominal price signal used in the economy module. With changes of the estimated Gas price variable which will be depending on the supply and demand situation changes in the nominal price will occour Price Index that gets delivered to the econimic model. IF THEN ELSE and the switch are used to try different things. (estimated Gas price/Gas base price 2015)*PERCENT PRICE TRANSFORMATION,,,,False
1196,Gini GDPpc EU27,gini_gdppc_eu27,,Dnml,"(nan, nan)",Auxiliary,Normal,"The Gini GDPpc index measures the extent to which the distribution of GDP between WILIAM regions deviates from a perfectly equal distribution. A Gini index of 0 represents perfect equality, while an index of 1 implies perfect inequality. Formula for calculating Gini: 1 - 2*the area under the lorentz curve (=cumulated GDP). This translates into the above form.",,,,True
1197,Global Ni other demand,global_ni_other_demand,,Mt/Mpersons,"(nan, nan)",Auxiliary,Normal,"Other demand, based on population and GDP. This is the residual demand affer stainless steel and common steel has been accounted for",,,,False
1198,Growth in Cu price,growth_in_cu_price,,$/t,"(nan, nan)",Auxiliary,Normal,Growth in Cu price test variable.,,,,False
1199,H2 INTENSITY AMMONIA PRODUCTION,h2_intensity_ammonia_production,,tonnes/tonnes,"(nan, nan)",Constant,External,Tonnes of hydrogen required to produce 1 ton of ammonia.,,,,False
1200,H2 INTENSITY OIL REFINING,h2_intensity_oil_refining,,tonnes/toe,"(nan, nan)",Constant,External,kg hydrogen per tonne oil intake (i.e. kg H2 per toe),,,,False
1201,H2 demand in refineries,h2_demand_in_refineries,['REGIONS 9 I'],tonnes/Year,"(nan, nan)",Auxiliary,Normal,Hydrogen used in refineries to upgrade oil,,,,False
1202,H2 demand to produce ammonia,h2_demand_to_produce_ammonia,['REGIONS 9 I'],tonnes/Year,"(nan, nan)",Auxiliary,Normal,Hydrogen used in ammonia production process,,,,False
1203,H2 maximum production via stationary electrolyzer,h2_maximum_production_via_stationary_electrolyzer,['REGIONS 9 I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,Maximum amount of hydrogen that can be produced with stationary electrolyzers,,,,False
1204,H2 production from flexible electrolysers,h2_production_from_flexible_electrolysers,['REGIONS 9 I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
1205,H2 production from stationary electrolyzers by PROSUP H2,h2_production_from_stationary_electrolyzers_by_prosup_h2,['REGIONS 9 I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,Hydrogen produced by electrolysers ([PROSUP elec 2 hydrogen]).,,,,False
1206,H2 total demand LHV basis,h2_total_demand_lhv_basis,['REGIONS 9 I'],TJ/Year,"(nan, nan)",Auxiliary,Normal,"Total H2 requirements to satisfy the demand, measured in energy units (LHV basis)",,,,False
1207,H2 total demand in tonnes,h2_total_demand_in_tonnes,['REGIONS 9 I'],tonnes/Year,"(nan, nan)",Auxiliary,Normal,"Total H2 requirements to satisfy the demand, measured in mass units",,,,False
1208,HADCRUT4 TEMPERATURE,hadcrut4_temperature,,DegreesC,"(nan, nan)",Data,External,HadCRUT4 Temperature Data https://www.metoffice.gov.uk/hadobs/hadcrut4/data/current/download.html,,,,False
1209,HARD COAL RESOURCE ESTIMATION HIGH SP,hard_coal_resource_estimation_high_sp,,EJ,"(nan, nan)",Constant,External,,,,,False
1210,HARD COAL RESOURCE ESTIMATION LOW SP,hard_coal_resource_estimation_low_sp,,EJ,"(nan, nan)",Constant,External,,,,,False
1211,HARD COAL RESOURCE ESTIMATION MED SP,hard_coal_resource_estimation_med_sp,,EJ,"(nan, nan)",Constant,External,,,,,False
1212,HDI,hdi,['REGIONS 35 I'],DMNL,"(nan, nan)",Auxiliary,Normal,Human Development Index. Formula proposed by UNDP and revisable in technical-notes-calculating-human-development-indices.pdf (undp.org),,,,False
1213,HDI 9R,hdi_9r,['REGIONS 9 I'],DMNL,"(nan, nan)",Auxiliary,Normal,HDI_9R,,,,False
1214,HDI EU 27,hdi_eu_27,,DMNL,"(nan, nan)",Auxiliary,Normal,,,,,False
1215,HDI world,hdi_world,,1,"(nan, nan)",Auxiliary,Normal,Human development index (HDI) of the world,,,,False
1216,HEAT DIFFUSION COVAR,heat_diffusion_covar,,DMNL,"(nan, nan)",Constant,External,Fraction of heat transfer that depends on eddy diffusion.,,,,False
1217,HEAT TRANSFER COEFF,heat_transfer_coeff,,w/(m*m)/(DegreesC/m),"(nan, nan)",Stateful,Initial,"The ratio of the actual to the mean of the heat transfer coefficient, which controls the movement of heat through the climate sector, is a function of the ratio of the actual to the mean of the eddy diffusion coefficient, which controls the movement of carbon through the deep ocean.",,,,False
1218,HEAT TRANSFER RATE,heat_transfer_rate,,w/(m*m)/DegreesC,"(0.0, 2.0)",Constant,External,Heat transfer rate.,,,,False
1219,HEV batteries capacity required,hev_batteries_capacity_required,['REGIONS 35 I'],TW*h/cycle,"(nan, nan)",Auxiliary,Normal,Total battery capacity required for the hybrid vehicles over the years,,,,False
1220,HEV vehicles batteries power required,hev_vehicles_batteries_power_required,['REGIONS 35 I'],TW,"(nan, nan)",Auxiliary,Normal,Total battery power required for the power vehicles over the years,,,,False
1221,HFC EMISSIONS,hfc_emissions,"['REGIONS 9 I', 'HFC TYPE I']",t/Year,"(nan, nan)",Auxiliary,Normal,"Historic data + projections ""Representative Concentration Pathways"" (RCPs, see http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=compare) Choose RCP: 1. RCP 2.6 2. RCP 4.5 3. RCP 6.0 4. RCP 8.5",,,,False
1222,HFC MOLAR MASS,hfc_molar_mass,['HFC TYPE I'],g/mol,"(nan, nan)",Constant,External,http://www.qc.ec.gc.ca/dpe/publication/enjeux_ges/hfc134a_a.html,,,,False
1223,HFC RADIATIVE EFFICIENCY,hfc_radiative_efficiency,['HFC TYPE I'],w/(ppb*m*m),"(nan, nan)",Constant,External,"From AR5 WG1 Chapter 8. Table 8.A.1. Lifetimes, Radiative Efficiencies and Metric Values",,,,False
1224,HFC RF,hfc_rf,['HFC TYPE I'],w/(m*m),"(nan, nan)",Auxiliary,Normal,HFC radiative forcing.,,,,False
1225,HFC RF total,hfc_rf_total,,w/(m*m),"(nan, nan)",Auxiliary,Normal,The sum of the RFs of the individual HFC types.,,,,False
1226,HFC atm conc,hfc_atm_conc,['HFC TYPE I'],ppt,"(nan, nan)",Auxiliary,Normal,HFC in atmosphere concentration.,,,,False
1227,HFC emissions RCP 2 6 endog,hfc_emissions_rcp_2_6_endog,"['REGIONS 9 I', 'HFC TYPE I']",t/Year,"(nan, nan)",Auxiliary,Normal,PFC anthropogenic emissions from RCP2.6 depending on real GDP.,,,,False
1228,HFC emissions RCP 4 5 endog,hfc_emissions_rcp_4_5_endog,"['REGIONS 9 I', 'HFC TYPE I']",t/Year,"(nan, nan)",Auxiliary,Normal,PFC anthropogenic emissions from RCP4.5 depending on real GDP.,,,,False
1229,HFC emissions RCP 6 0 endog,hfc_emissions_rcp_6_0_endog,"['REGIONS 9 I', 'HFC TYPE I']",t/Year,"(nan, nan)",Auxiliary,Normal,PFC anthropogenic emissions from RCP6.0 depending on real GDP.,,,,False
1230,HFC emissions RCP 8 5 endog,hfc_emissions_rcp_8_5_endog,"['REGIONS 9 I', 'HFC TYPE I']",t/Year,"(nan, nan)",Auxiliary,Normal,PFC anthropogenic emissions from RCP8.5 depending on real GDP.,,,,False
1231,HFC in atm,hfc_in_atm,['HFC TYPE I'],t,"(2.5924e-43, nan)",Stateful,Integ,HFC in atmosphere.,,,,False
1232,HFC uptake,hfc_uptake,['HFC TYPE I'],t/Year,"(nan, nan)",Auxiliary,Normal,"HFC removed from the atmosphere, considering the time constant (time that the gas takes to be removed from the atmosphere)",,,,False
1233,HIGH GRADE FACTOR,high_grade_factor,,1/Years,"(nan, nan)",Constant,External,This factor compensates for the fact that the high grade and the rich grade are much easier to mine - the others need more work. These numbers give the best fit to the historical data and therefore they are assumptions based parametersation of the ore grade curve. This consideration the difference between rich and high grade ores vs. lower grade ores. This particular parameter is for the high grade.,,,,False
1234,HISTORIC ANNUAL GROWTH CAPACITY EXPANSION PROSTO DEDICATED,historic_annual_growth_capacity_expansion_prosto_dedicated,"['REGIONS 9 I', 'PROSTO ELEC DEDICATED I']",1/Year,"(nan, nan)",Constant,External,Historic annual growth capacity expansion of dedicated facilities to store energy at utility-scale level.,,,,False
1235,HISTORIC CAPACITY EXPANSION STATIONARY BATERIES,historic_capacity_expansion_stationary_bateries,"['REGIONS 9 I', 'NRG PRO I']",TW/Year,"(nan, nan)",Lookup,External,Historic evolution of new capacity additions of stationary batteries per region.,,,,False
1236,HISTORIC CO2 EMISSIONS ENERGY AND WASTE,historic_co2_emissions_energy_and_waste,['REGIONS 35 I'],Mt/Year,"(nan, nan)",Data,External,Historic CO2 emissions from energy and waste (IPCC categories).,,,,False
1237,HISTORIC EMIGRATIONS RATE,historic_emigrations_rate,['REGIONS 35 I'],DMNL,"(nan, nan)",Constant,External,Share of population that emigrates per region,,,,False
1238,HISTORIC PV MODULES EFFICIENCY,historic_pv_modules_efficiency,['PROTRA PP SOLAR PV SUBTECHNOLOGIES I'],DMNL,"(nan, nan)",Lookup,External,Historic efficiencies of photovoltaic panels. Own estimation.,,,,False
1239,HISTORIC SEA LEVEL RISE,historic_sea_level_rise,,mm,"(nan, nan)",Data,External,"Historic data of sea-level rise,",,,,False
1240,HISTORICAL AFFORESTATION BY REGION,historical_afforestation_by_region,['REGIONS 9 I'],km2/Year,"(nan, nan)",Lookup,External,Historical data of land uses change to afforestation by region,,,,False
1241,HISTORICAL AREA OF CROPS ALL MANAGEMENT,historical_area_of_crops_all_management,"['LAND PRODUCTS I', 'REGIONS 9 I']",km2,"(nan, nan)",Lookup,External,FAO data only per region mixing irrigated and rainfed,,,,False
1242,HISTORICAL AVERAGE FOREST STOCK LOSS,historical_average_forest_stock_loss,['REGIONS 9 I'],DMNL,"(nan, nan)",Constant,External,Average share of forest stock loss during historical period,,,,False
1243,HISTORICAL Al PRICE,historical_al_price,,$/t,"(nan, nan)",Data,External,Historical Aluminium Price from Indixmundi- average over each year.,,,,False
1244,HISTORICAL COAL DEMAND TWO,historical_coal_demand_two,,EJ/Year,"(nan, nan)",Data,External,Historical demand for coal based on Source: Source: IEA. All Rights Reserved This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/Units: in EJ/year,,,,False
1245,HISTORICAL CONSUMPTION COAL PER YEAR,historical_consumption_coal_per_year,,EJ/Year,"(nan, nan)",Auxiliary,with Lookup,Historical demand of coal based on the SOURCE: acessed 10.09.2022 - https://www.iea.org/data-and-statistics/charts/world-coal-consumption-1978- 2020,,,,False
1246,HISTORICAL CONSUMPTION MATERIALS RoE,historical_consumption_materials_roe,['MATERIALS I'],tonnes/Year,"(nan, nan)",Lookup,External,Historical mineral consumption (primary + recycled) for the rest of the economy (without green technologies for which this is estimated bottom-up in the model).,,,,False
1247,HISTORICAL CROPS PRODUCTION FAO,historical_crops_production_fao,"['LAND PRODUCTS I', 'REGIONS 9 I']",t/Year,"(nan, nan)",Lookup,External,FAO data only per region mixing irrigated and rainfed,,,,False
1248,HISTORICAL Cu DEMAND,historical_cu_demand,,Mt/Year,"(nan, nan)",Data,External,Historical Copper demand from 2005 until 2022. And projection from 2022 until 2024. Source:,,,,False
1249,HISTORICAL ENERGY EFFICIENCY ANNUAL IMPROVEMENT,historical_energy_efficiency_annual_improvement,['REGIONS 35 I'],1/Year,"(nan, nan)",Constant,External,Historical energy effiency annual variation form IEA balances 2000-2015 (no difference between sectors).,,,,False
1250,HISTORICAL ENERGY INTENSITIES TOP DOWN BY SECTOR AND FE,historical_energy_intensities_top_down_by_sector_and_fe,"['REGIONS 35 I', 'SECTORS I', 'NRG FE I']",TJ/million$,"(nan, nan)",Constant,External,"Initial final energy intensities by sector and final energy obtained from EXIOBASE only for year 2015. 0 values are avoided and instead 0.00001 to avoid error given that if the initial value of Energy Intensity stocks are 0, the variation being dependent on itself, and thus the value can never change.",,,,False
1251,HISTORICAL FERTILITY RATES 2005 2010,historical_fertility_rates_2005_2010,"['REGIONS 35 I', 'SEX I', 'FERTILITY AGES I']",people/(kpeople*Year),"(nan, nan)",Constant,External,Exogenous data of the historical fertility rates in the period 2005-2010.,,,,False
1252,HISTORICAL FERTILITY RATES 2010 2015,historical_fertility_rates_2010_2015,"['REGIONS 35 I', 'SEX I', 'FERTILITY AGES I']",people/(kpeople*Year),"(nan, nan)",Constant,External,Exogenous data of the historical fertility rates in the period 2010-2015.,,,,False
1253,HISTORICAL FERTILITY RATES 2015 2020,historical_fertility_rates_2015_2020,"['REGIONS 35 I', 'SEX I', 'FERTILITY AGES I']",people/(kpeople*Year),"(nan, nan)",Constant,External,Exogenous data of the historical fertility rates in the period 2015-2020.,,,,False
1254,HISTORICAL FINAL ENERGY SUBSTITUTION,historical_final_energy_substitution,"['REGIONS 35 I', 'NRG FE I']",1/Year,"(nan, nan)",Constant,External,Historical final energy annual substitution form IEA balances 2000-2015 (no difference between sectors).,,,,False
1255,HISTORICAL FOREST VOLUME STOCK ALL FORESTS,historical_forest_volume_stock_all_forests,['REGIONS 9 I'],m3,"(nan, nan)",Lookup,External,historical forest volume stock change by region,,,,False
1256,HISTORICAL FOREST VOLUME STOCK CHANGE ALL FORESTS,historical_forest_volume_stock_change_all_forests,['REGIONS 9 I'],m3/Year,"(nan, nan)",Lookup,External,historical forest volume stock change by region,,,,False
1257,HISTORICAL GAS DEMAND,historical_gas_demand,,EJ/Year,"(nan, nan)",Data,External,Consumption data for global gas cosumption from 1970 until 2021 taken from BP statistic report 2022,,,,False
1258,HISTORICAL GENDER BIRTH RATIO 2005 2010,historical_gender_birth_ratio_2005_2010,['REGIONS 35 I'],DMNL,"(nan, nan)",Constant,External,Exogenous data of the historical gender rate in birth in the period 2005-2010.,,,,False
1259,HISTORICAL GENDER BIRTH RATIO 2010 2015,historical_gender_birth_ratio_2010_2015,['REGIONS 35 I'],DMNL,"(nan, nan)",Constant,External,Exogenous data of the historical gender rate in birth in the period 2010-2015.,,,,False
1260,HISTORICAL GENDER BIRTH RATIO 2015 2020,historical_gender_birth_ratio_2015_2020,['REGIONS 35 I'],DMNL,"(nan, nan)",Constant,External,Exogenous data of the historical gender rate in birth in the period 2015-2020.,,,,False
1261,HISTORICAL GROWTH NON ENERGY USE INTENSITY BY FE,historical_growth_non_energy_use_intensity_by_fe,"['REGIONS 35 I', 'NRG FE I']",,"(nan, nan)",Constant,External,,,,,False
1262,HISTORICAL LAND PRODUCTS PRODUCTION,historical_land_products_production,"['REGIONS 9 I', 'LAND PRODUCTS I']",t/Year,"(nan, nan)",Data,External,land products production (FAO data),,,,False
1263,HISTORICAL LAND USE BY REGION,historical_land_use_by_region,"['REGIONS 9 I', 'LANDS I']",km2/Year,"(nan, nan)",Lookup,External,HISTORICAL_LAND_USE_BY_REGION,,,,False
1264,HISTORICAL LAND USE CHANGE BY REGION,historical_land_use_change_by_region,"['REGIONS 9 I', 'LANDS I']",km2/Year,"(nan, nan)",Lookup,External,Past trends of land-use change by region. The spike in EASOC for the year 2018 is related with fires. The forest data from India must be revised!,,,,False
1265,HISTORICAL LIFE EXPECTANCY AT BIRTH,historical_life_expectancy_at_birth,"['REGIONS 35 I', 'SEX I']",Years,"(nan, nan)",Data,External,Historical life expectancy at birth for regions and gender.,,,,False
1266,HISTORICAL MAX EU HOUSEHOLDS PER 100 PEOPLE,historical_max_eu_households_per_100_people,['HOUSEHOLDS DEMOGRAPHY I'],households/person,"(nan, nan)",Constant,External,Maximum historical values for the ratio of households per 100 people,,,,False
1267,HISTORICAL MEAN EU HOUSEHOLDS PER 100 PEOPLE,historical_mean_eu_households_per_100_people,['HOUSEHOLDS DEMOGRAPHY I'],households/person,"(nan, nan)",Constant,External,Mean historical values for the ratio of households per 100 people,,,,False
1268,HISTORICAL MIN EU HOUSEHOLDS PER 100 PEOPLE,historical_min_eu_households_per_100_people,['HOUSEHOLDS DEMOGRAPHY I'],households/person,"(nan, nan)",Constant,External,Minimum historical values for the ratio of households per 100 people,,,,False
1269,HISTORICAL NON ENERGY USE INTENSITIES BY SECTOR AND FE,historical_non_energy_use_intensities_by_sector_and_fe,"['REGIONS 35 I', 'SECTORS I', 'NRG FE I']",TJ/million$,"(nan, nan)",Constant,External,Energy intensities of non energy sectors obtained from EXIOBASE for 2015,,,,False
1270,HISTORICAL OIL DEMAND,historical_oil_demand,,bbl/Year,"(nan, nan)",Data,External,Historical Oil demand in bbl per year Source: bp-stats-review-2021 calulated from daily to yearly,,,,False
1271,HISTORICAL ROUNDWOOD HARVESTED,historical_roundwood_harvested,['REGIONS 9 I'],t/Year,"(nan, nan)",Lookup,External,historical roundwood harvested,,,,False
1272,HISTORICAL SHARE OF LAND USE CHANGES FROM OTHERS,historical_share_of_land_use_changes_from_others,"['REGIONS 9 I', 'LANDS I', 'LANDS MAP I']",DMNL,"(nan, nan)",Constant,"External, Normal","SHARES (LANDS_I,LANDS_MAP_I)=demand of use LANDS_MAP_I taken from LANDS_I",,,,False
1273,HISTORICAL SHARES MIGRATION,historical_shares_migration,"['REGIONS 35 I', 'REGIONS 35 MAP I']",DMNL,"(nan, nan)",Constant,External,Historical shares of emigration (distribution across regions),,,,False
1274,HISTORICAL SHARES OF CROPS ALL MANAGEMENT,historical_shares_of_crops_all_management,"['LAND PRODUCTS I', 'REGIONS 9 I']",DMNL,"(nan, nan)",Lookup,External,FAO data only per region mixing irrigated and rainfed,,,,False
1275,HISTORICAL SHARES OF RAINFED CROPS EU,historical_shares_of_rainfed_crops_eu,['LAND PRODUCTS I'],,"(nan, nan)",Lookup,External,"GET_DIRECT_LOOKUPS('model_parameters/land_and_water/land_and_water_parameters.xlsx', 'croplands' , 'TIME_CROPLANDS', 'HISTORICAL_VARIATION_OF_RAINFED_CROP_SHARES_UK') GET_DIRECT_LOOKUPS('model_parameters/land_and_water/land_and_water_paramete rs.xlsx', 'croplands' , 'TIME_CROPLANDS', 'HISTORICAL_VARIATION_OF_RAINFED_CROP_SHARES_CHINA')",,,,False
1276,HISTORICAL SOLAR LAND BY REGION,historical_solar_land_by_region,['REGIONS 9 I'],,"(nan, nan)",Lookup,External,,,,,False
1277,HISTORICAL TARGET PRICE,historical_target_price,,$/bbl,"(nan, nan)",Data,External,"Estimation made based on OPEC spare capacity and price development in market.Values derived by fitting the model results with the historical data. Different than Inaki's excel! NEEDS an UPDATE! Target Price derived from the excels Table we developed in Bilboa, based on the the attempt to fit the opec spare capacity and the oil price.",,,,False
1278,HISTORICAL TRENDS OF LAND USE DEMAND,historical_trends_of_land_use_demand,"['REGIONS 9 I', 'LANDS I']",km2/Year,"(nan, nan)",Constant,External,Trends of land use demand got from historical data (lineal approximation),,,,False
1279,HISTORICAL URBAN LAND BY REGION,historical_urban_land_by_region,['REGIONS 9 I'],,"(nan, nan)",Lookup,External,,,,,False
1280,HISTORICAL VARIATION MATERIALS CONSUMPTION RoE,historical_variation_materials_consumption_roe,['MATERIALS I'],tonnes/(Year*Year),"(nan, nan)",Auxiliary,Normal,Historical variation (yearly) in the consumption (primary + recycled) of minerals by the rest of the economy.,,,,False
1281,HISTORICAL VARIATION OF SHARES OF IRRIGATED CROPS,historical_variation_of_shares_of_irrigated_crops,"['LAND PRODUCTS I', 'REGIONS 9 I']",,"(nan, nan)",Lookup,External,,,,,False
1282,HISTORICAL VARIATION OF SHARES OF RAINFED CROPS,historical_variation_of_shares_of_rainfed_crops,"['LAND PRODUCTS I', 'REGIONS 9 I']",,"(nan, nan)",Lookup,External,,,,,False
1283,HISTORICAL VOLUME STOCK CHANGE FOREST M AND P,historical_volume_stock_change_forest_m_and_p,['REGIONS 9 I'],m3/Year,"(nan, nan)",Lookup,External,historical forest volume stock change by region,,,,False
1284,HISTORICAL VOLUME STOCK OF FOREST M AND P,historical_volume_stock_of_forest_m_and_p,['REGIONS 9 I'],m3,"(nan, nan)",Lookup,External,historical forest volume stock change by region,,,,False
1285,HISTORICAL WATER AVAILABLE 35R,historical_water_available_35r,['REGIONS 35 I'],hm3,"(nan, nan)",Lookup,External,,,,,False
1286,HISTORICAL WATER USE FAO,historical_water_use_fao,['REGIONS 35 I'],hm3,"(nan, nan)",Lookup,External,historical WATER use from FAO accounts,,,,False
1287,HISTORICAL YIELDS FAO,historical_yields_fao,"['LAND PRODUCTS I', 'REGIONS 9 I']",t/(km2*Year),"(nan, nan)",Lookup,External,FAO data only per region mixing irrigated and rainfed,,,,False
1288,HOURLY AVERAGE POWER ELEC DEMAND EnergyPLAN,hourly_average_power_elec_demand_energyplan,,MW*TWh/(TW*h),"(nan, nan)",Auxiliary,Normal,,,,,False
1289,HOUSEHOLDS CORRESPONDANCE 12 TO 60,households_correspondance_12_to_60,"['HOUSEHOLDS I', 'HOUSEHOLDS DEMOGRAPHY I']",DMNL,"(nan, nan)",Constant,External,Correspodnance matrix (matrix of ones) between 12 houesholds in the demographic module and 60 in the eocnomic module,,,,False
1290,HUMIFICATION FRACTION,humification_fraction,,DMNL,"(nan, nan)",Constant,External,Fraction of carbon outflow from biomass that enters humus stock.,,,,False
1291,HUMUS RES TIME,humus_res_time,,Year,"(nan, nan)",Constant,External,Average carbon residence time in humus.,,,,False
