Name,Variable sign ,Module,Sector,Type,Scope,Description,Unit,Status,Damage functions,Damage functions 2,Related equation,Zotero Source,Quantité (Damage functions)
Maximum dryland loss in region , ζ ,,,,," Maximum dryland loss in region r, which is equal to the area in the year 2000 ", - ,,Potential cumulative dryland impact,, Equation SLR.1,,1
Net present value of land lost without any coastal protection , NPVVD ,,,,, Net present value of the land lost without any coastal protection , - ,,Level of protection,, Equation SLR.9,,1
Parameter , φ ,,,,, Parameter with value 4 million dollar per square kilometre , million dollar/km² ,,Value of dryland,, Equation SLR.5,,1
Unit value of dryland , VD ,,,,, Unit value of dryland at time t in region r , million dollar/km² ,,Value of dryland,Value of dryland, Equation SLR.5,,1
Annual unit cost of coastal protection , π ,,,,, Annual unit cost of coastal protection in million dollar per vertical metre in region r , million dollar/m ,,Net present cost of protection,, Equation SLR.10,,1
Parameter , τ ,,,,, Parameter , degree Celsius ,,Ecosystem loss,, Equation E.1,,1
Net present value of wetland loss at time , NPVVW ,,,,, Net present value of wetland loss at time t in region r , - ,,,Net present cost of wetland loss, Equation SLR.11,,0
Number of additional diarrhoea deaths , d ,,,,, Number of additional diarrhoea deaths in region r and time t , - ,,,Human health : diarrhoea, Equation HD.1,,0
Net present value of wetland lost due to coastal squeeze if whole coast is protected , NPVVW ,,,,, Net present value of the wetland lost due to coastal squeeze if the whole coast is protected , - ,,Level of protection,, Equation SLR.9,,1
Size elasticity of wetland value , δ ,,,,, Size elasticity of wetland value , - ,,"Wetland value,Net present cost of wetland loss",, Equation SLR.11,,2
Net present value of protection if whole coast is protected , NPVVP ,,,,, Net present value of the protection if the whole coast is protected , - ,,Level of protection,, Equation SLR.9,,1
Potential dryland loss without protection , D̅ ,,,,, Potential dryland loss in year t and region r without protection , - ,,Actual dryland loss in the current year,Potential dryland loss without protection, Equation SLR.2,,1
Cumulative wetland loss , WC ,,,,, Cumulative wetland loss at time t in region r , square kilometer ,,Cumulative wetland loss,, Equation SLR.8,,1
Dryland loss due to one metre sea level rise , δ ,,,,, Dryland loss due to one metre sea level rise in square kilometre per metre in region r , km²/m ,,Potential cumulative dryland impact,, Equation SLR.1,,1
Net present value of dryland loss at time , NPVVD ,,,,, Net present value of dryland loss at time t in region r , - ,,,Net present cost of dryland loss, Equation SLR.12,,0
Net present costs of coastal protection at time , NPVVP ,,,,, Net present costs of coastal protection at time t in region r , - ,,,Net present cost of protection, Equation SLR.10,,0
Cumulative wetland loss at time , WC ,,,,, Cumulative wetland loss at time t in region r , square kilometre ,,Wetland value,Cumulative wetland loss, Equation SLR.7,,1
Income elasticity of diarrhoea mortality , ε ,,,,, Income elasticity of diarrhoea mortality , - ,,Human health : diarrhoea,, Equation HD.1,,1
Growth rate of wetland , w ,,,,, Growth rate of wetland at time t in region r , - ,,Net present cost of wetland loss,, Equation SLR.11,,1
Normalisation constant , y₀ ,,,,," Normalisation constant for per capita income with value 25,000 $/p/yr ", dollar/person/year ,,"Wetland value,Value of a statistical life",, Equation SLR.8,,2
Parameter , σ ,,,,, Parameter , - ,,Ecosystem loss,, Equation E.1,,1
Potential cumulative dryland loss without protection , C̅D ,,,,, Potential cumulative dryland lost at time t in region r that would occur without protection , - ,,Potential dryland loss without protection,, Equation SLR.2,,1
Number of additional deaths from vector-borne diseases , d ,,,,, Number of additional deaths from vector-borne diseases in region r at time t , - ,,,Human health : vector-borne diseases, Equation HV,,0
Total amount of wetland exposed to sea level rise , WM ,,,,, Total amount of wetland exposed to sea level rise , - ,,Cumulative wetland loss,, Equation SLR.7,,1
Total amount of wetlands in 1990 , W1990 ,,,,, Total amount of wetlands in 1990 in region r , square kilometer ,,Wetland value,, Equation SLR.8,,1
Wetland loss at time , W ,,,,, Wetland loss at time t in region r , - ,,Cumulative wetland loss,Wetland loss, Equation SLR.6,,1
Parameter determining value , α ,,,,, Parameter determining the value , - ,,,, Equation E.1,,0
Income elasticity of wetland value , β ,,,,, Income elasticity of wetland value , - ,,"Wetland value,Net present cost of wetland loss",, Equation SLR.11,,2
Parameter , ρ ,,,,, Parameter , - ,,Number of species,, Equation E.2,,1
Wetland value at time , VW ,,,,, Wetland value at time t in region r , dollar/km² ,,,Wetland value, Equation SLR.8,,0
Income elasticity of extratropical storm damages , ε ,,,,, Income elasticity of extratropical storm damages , - ,,Extratropical storms damage,, Equation ETS.1,,1
Parameter , β ,,,,, Parameter , - ,,,, Equation HC.2,,0
Benchmark mortality from extratropical cyclones for region r , β ,,,,, Benchmark mortality from extratropical cyclones for region r , - ,,Extratropical storms mortality,, Equation EST.2,,1
Parameter indicating benchmark impact of climate change on vector-borne diseases , α ,,,,, Parameter indicating the benchmark impact of climate change on vector-borne diseases , - ,,Human health : vector-borne diseases,, Equation HV,,1
Income elasticity of vector-borne mortality , γ ,,,,, Income elasticity of vector-borne mortality , - ,,Human health : vector-borne diseases,, Equation HV,,1
Mortality from vector-borne diseases in 1990 in region r , D ,,,,, Mortality from vector-borne diseases in region r in 1990 , - ,,Human health : vector-borne diseases,, Equation HV,,1
Income elasticity of storm damage , ε ,,,,, Income elasticity of storm damage , - ,,"Extreme weather : tropical storms damage,Extreme weather : tropical storm mortality",, Equation TS.1,,2
Index for the disease , c ,,,,," Index for the disease (heat-related cardiovascular under 65, heat-related cardiovascular over 65, cold-related cardiovascular under 65, cold-related cardiovascular over 65, respiratory) ", - ,,Human health : cardiovascular and respiratory mortality,, Equation HC.2,,1
Current temperature of the hottest or coldest month in the country , TB ,,,,, Current temperature of the hottest or coldest month in the country in degrees Celsius , degrees Celsius ,,Human health : cardiovascular and respiratory mortality,, Equation HC.1,,1
Benchmark damage from extratropical cyclones for region r , α ,,,,, Benchmark damage from extratropical cyclones for region r , - ,,Extratropical storms damage,, Equation ETS.1,,1
Income elasticity of extratropical storm mortality , φ ,,,,, Income elasticity of extratropical storm mortality , - ,,Extratropical storms mortality,, Equation EST.2,,1
Parameter , α ,,,,, Parameter , - ,,Ecosystem loss,, Equation HC.3,,1
Current mortality as a fraction of population , β ,,,,, Current mortality as a fraction of population specified in Table TS , - ,,Extreme weather : tropical storm mortality,, Equation TS.2,,1
Parameter for degree of non-linearity of mortality in warming , β ,,,,, Parameter for the degree of non-linearity of mortality in warming , - ,,Human health : vector-borne diseases,, Equation HV,,1
Climate-change-induced mortality due to disease c in region r at time t , D ,,,,," Climate-change-induced mortality due to disease c in region r at time t in deaths per 100,000 people "," deaths/100,000 people ",,Human health : vector-borne diseases,Human health : regional cardiovascular mortality, Equation HC.2,,1
Income elasticity of the value of a statistical life , ε ,,,,, Income elasticity of the value of a statistical life , - ,,Value of a statistical life,, Equation MM.1,,1
Income elasticity of the value of a year of morbidity , η ,,,,, Income elasticity of the value of a year of morbidity , - ,,Value of a year of morbidity,, Equation MM.2,,1
Vector borne disease,,,,,,,,,Human health : vector-borne diseases,,,,1
??1 (psi 1) , Coefficient 1 ,,,,, Coefficient determining the impact of global mean surface temperature on damages , $/�C ,,Damage function,, Damages Equation,,1
?? (T) , Global mean surface temperature ,,,,, Global mean surface temperature from pre-industrial levels , �C ,,Damage function,, Damages Equation,,1
??2 (psi 2) , Coefficient 2 ,,,,, Coefficient determining the squared impact of global mean surface temperature on damages , $/�C^2 ,,Damage function,, Damages Equation,,1
??1 (theta 1) , Intercept ,,,,, Fraction of output required to reduce emissions to zero , % of output ,,Abatement costs,, Abatement-cost function,,1
??2 (theta 2) , Coefficient ,,,,, Coefficient in the abatement cost equation , unitless ,,Abatement costs,, Abatement-cost function,,1
?? (mu) , Emissions control rate ,,,,, Rate of emissions control measures , unitless ,,Abatement costs,, Abatement-cost function,,1
 Regional impact of global warming ,I (iota) ,,,,, Corresponds to temperature increase above adjusted tolerable level , �C ,,Weigthed impacts,Impact, (Not explicitly associated with a specific equation),,1
 Discontinuity impact ,IDIS (iota) ,,,,, Impact of discontinuity on regional temperature , �C ,,Certainty equivalent of the risk,Impact of a discontinuity, Equation (27),,1
Plateau nonegative factors characteristic to an adaptive policy,PLAT,,,,,,,,Adjusted tolerable plateau,,,,1
 Discontinuity weight ,WDIS (omega) ,,,,, Maximum percentage of GDP that can be lost due to discontinuity in each region , unitless ,,Certainty equivalent of the risk,, Equation (30),,1
 Adjusted tolerable rate ,ATR (alpha) ,,,,, Tolerable rate adjusted by adaptive policy factors , �C/year ,,Adjusted tolerable level,Adjusted tolerable rate, Equation (25),,1
 Weighted impact ,WI (omega) ,,,,," The weighted impact of temperature increase above the tolerable level, factoring in adaptive policy and regional factors ", Mecu ,,Total weighted impact,Weigthed impacts, Equation (31),,1
 Power function exponent ,POW (rho) ,,,,, Exponent determining the relationship between regional temperature increase and impacts , unitless ,,Weigthed impacts,, Equation (31),,1
 Total weighted impact ,WIT (omega) ,,,,," The sum of all weighted impacts for each region and sector, including the impact of discontinuity ", Mecu ,,Adjusted damage,Total weighted impact, Equation (33),,1
 Weighted impact of discontinuity ,WIDIS (omega) ,,,,," The weighted impact of possible discontinuity risk for a specific region, factoring in economic factors ", Mecu ,,Total weighted impact,Certainty equivalent of the risk, Equation (32),,1
 Adjusted tolerable plateau ,ATP (alpha) ,,,,, Tolerable plateau adjusted by adaptive policy factors , �C ,,Adjusted tolerable level,Adjusted tolerable plateau, Equation (24),,1
Slope nonegative factors characteristic to an adaptive policy,SLOPE,,,,,,,,Adjusted tolerable rate,,,,1
 Regional multiplier weights,WF (omega) ,,,,, Percentage of GDP lost for benchmark warming in each impact sector and region , unitless ,,Weighting of the impacts,, Not associated with a specific equation,,1
Adaptative policy,IMP,,,,,"An adaptive policy, characterised by the factor IMPi,d,r, can mitigate these impacts.",,,Weigthed impacts,,,,1
 Parameter in backstop technology function ,g ,,,,, Parameter in backstop technology function , - ,,,, Climate change model,10.1038/s41467-020-15453-z,0
 Parameter in backstop technology function ,?i ,,,,, Parameter in backstop technology function , - ,,,, Climate change model,10.1038/s41467-020-15453-z,0
 Coefficient in damage function ,"a2,i ",,,,, Coefficient in damage function , - ,,,, Climate change model,10.1038/s41467-020-15453-z,0
 Parameter in backstop technology function ,p ,,,,, Parameter in backstop technology function , - ,,,, Climate change model,10.1038/s41467-020-15453-z,0
 Cost coefficient of backstop technologies ,"b1,i(t) ",,,,, Cost coefficient of backstop technologies , - ,,,, Climate change model,10.1038/s41467-020-15453-z,0
 Parameter in backstop technology function ,"b2,i ",,,,, Parameter in backstop technology function , - ,,,, Climate change model,10.1038/s41467-020-15453-z,0
coef1 of damamge function,p50_damageFuncCoef1,,,,,coef1 of damamge function,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
coef1 of damamge function,p50_damageFuncCoef1,,,,,coef1 of damamge function,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
damage parameter constant,f50_TCconst,,,,,damage parameter constant,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
variance of coef1,p50_var_a1,,,,,variance of coef1,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
"covariance of b1, b2",p50_cov_b1_b2,,,,,"covariance of b1, b2",,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
"covariance of coefs a1, a2",p50_cov_a1_a2,,,,,"covariance of coefs a1, a2",,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
"covariance of coefs a1, b2",p50_cov_a1_b2,,,,,"covariance of coefs a1, b2",,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
coef0 for tropical cyclone damage function,p50_damageFuncCoefTC0,,,,,coef0 for tropical cyclone damage function,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
coef2 of damamge function,p50_damageFuncCoef2,,,,,coef2 of damamge function,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
"covariance of a2, b2",p50_cov_a2_b2,,,,,"covariance of a2, b2",,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
variance of coef2,p50_var_a2,,,,,variance of coef2,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
to check regional sum of GDP,p50_test,,,,,to check regional sum of GDP,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
"damage parameter, linear with temperature",f50_TCtasK,,,,,"damage parameter, linear with temperature",,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
damage standard error with emission pulse,p50_seImp,,,,,damage standard error with emission pulse,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
coef1 of damamge function,p50_damageFuncCoef1,,,,,coef1 of damamge function,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
variance of coefb1,p50_var_b1,,,,,variance of coefb1,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
"covariance of coefs a2, b1",p50_cov_a2_b1,,,,,"covariance of coefs a2, b1",,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
"damage function coefficient for TC, quadratic in temperture",p50_damageFuncCoefTC2,,,,,"damage function coefficient for TC, quadratic in temperture",,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
coef1 for tropical cyclone damage function,p50_damageFuncCoefTC1,,,,,coef1 for tropical cyclone damage function,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
temperature difference of lag years with emission pulse,p50_delTimp2,,,,,temperature difference of lag years with emission pulse,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
standard error for damages,p50_se,,,,,standard error for damages,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
"covariance of coefs a1, b1",p50_cov_a1_b1,,,,,"covariance of coefs a1, b1",,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
coef2 of damamge function,p50_damageFuncCoef2,,,,,coef2 of damamge function,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
coef2 of damamge function,p50_damageFuncCoef2,,,,,coef2 of damamge function,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
variance of coefb2,p50_var_b2,,,,,variance of coefb2,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
damage function derivative,pm_damageMarginal,,,,,damage function derivative,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
damage function derivative for KW,pm_damageMarginalT,,,,,damage function derivative for KW,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
marginal damage of tropical cyclones,pm_damageMarginalTC,,,,,marginal damage of tropical cyclones,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
mapping from tall to ttot,pm_tall_2_ttot,,,,,mapping from tall to ttot,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
weight for linear interpolation of ttot-dependent variables,pm_interpolWeight_ttot_tall,,,,,weight for linear interpolation of ttot-dependent variables,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
,"(tall, iso, all_GDPscen)",,,,,,,,,,,https://rse.pik-potsdam.de/doc/remind/3.2.0/50_damages.htm,0
mapping from ttot to tall,pm_ttot_2_tall,,,,,,,,,,,https://rse.pik-potsdam.de/doc/remind/2.1.3/50_damages.htm,0
 Calibrated parameter for temperature change impact ,5. ? ,,,,,, N/A ,,,, Equation (3.1),"(Asbj�rn Aaheim, 2018, p. 32)",0
 Calibrated parameter for precipitation change impact ,6. ? ,,,,,, N/A ,,,, Equation (3.1),"(Asbj�rn Aaheim, 2018, p. 32)",0
 Degrees Celsius change in mean temperature ,2. dT ,,,,,, Degree Celsius ,,,, Equation (3.1),"(Asbj�rn Aaheim, 2018, p. 32)",0
 Rate of change in the respective sector variable ,1. dX ,,,,,, N/A ,,,, Equation (3.1),"(Asbj�rn Aaheim, 2018, p. 32)",0
 Calibrated parameter for temperature change impact ,4. ? ,,,,,, N/A ,,,, Equation (3.1),"(Asbj�rn Aaheim, 2018, p. 32)",0
Fish stock,,,,,,,,,,Fish stock,,,0
Water cooling and run-off,,,,,,,,,,,,,0
Run-off,,,,,,,,,,,,,0
